beta_+,beta_self,B*_steady
5e-05,5e-05,0.166477487095
5e-05,9.75e-05,0.166477487095
5e-05,0.000145,0.166477487095
5e-05,0.0001925,0.166477487095
5e-05,0.00024,0.166477487095
5e-05,0.0002875,0.166477487095
5e-05,0.00043,0.166477487095
5e-05,0.000525,0.166477487095
5e-05,0.0005725,0.166477487095
5e-05,0.00062,0.166477487095
5e-05,0.0006675,0.166477487095
5e-05,0.000715,0.166477487095
5e-05,0.0007625,0.166477487095
5e-05,0.00081,0.166477487095
5e-05,0.0008575,0.166477487095
5e-05,0.000905,0.166477487095
5e-05,0.0009525,0.166477487095
0.0005475,5e-05,1.81708965372
0.0005475,9.75e-05,1.81882785353
0.0005475,0.000145,1.81129876312
0.0005475,0.0001925,1.81453377321
0.0005475,0.00024,1.81353110173
0.0005475,0.0002875,1.81779021879
0.0005475,0.000335,1.8124839215
0.0005475,0.0003825,1.81570006874
0.0005475,0.00043,1.8182652528
0.0005475,0.0004775,1.81888350258
0.0005475,0.000525,1.81726866501
0.0005475,0.0005725,1.81921350915
0.0005475,0.00062,1.81140209844
0.0005475,0.0006675,1.81654701119
0.0005475,0.000715,1.81899547457
0.0005475,0.0007625,1.81937655681
0.0005475,0.00081,1.81321216514
0.0005475,0.0008575,1.8168485101
0.0005475,0.000905,1.81631201093
0.0005475,0.0009525,1.81862702504
0.001045,5e-05,3.35998136873
0.001045,9.75e-05,3.35398441757
0.001045,0.000145,3.37457200942
0.001045,0.0001925,3.33728699226
0.001045,0.00024,3.36797883539
0.001045,0.0002875,3.41053381224
0.001045,0.000335,3.36637823022
0.001045,0.0003825,3.38834954774
0.001045,0.00043,3.38382897859
0.001045,0.0004775,3.44618725512
0.001045,0.000525,3.40665499691
0.001045,0.0005725,3.40808933153
0.001045,0.00062,3.43939289352
0.001045,0.0006675,3.50329482563
0.001045,0.000715,3.55182091318
0.001045,0.0007625,2.3064901948
0.001045,0.00081,2.24151186263
0.001045,0.0008575,2.20481538736
0.001045,0.000905,2.16541399049
0.001045,0.0009525,2.12302324083
0.0015424999999999998,5e-05,4.747847152
0.0015424999999999998,9.75e-05,4.77602882344
0.0015424999999999998,0.000145,4.62868186562
0.0015424999999999998,0.0001925,4.43390129079
0.0015424999999999998,0.00024,4.42216736814
0.0015424999999999998,0.0002875,4.43432522148
0.0015424999999999998,0.000335,4.4340523043
0.0015424999999999998,0.0003825,4.4594959231
0.0015424999999999998,0.00043,4.49933441642
0.0015424999999999998,0.0004775,4.53784817651
0.0015424999999999998,0.000525,3.48165449471
0.0015424999999999998,0.0005725,3.41845497635
0.0015424999999999998,0.00062,3.35783101819
0.0015424999999999998,0.0006675,3.29818353829
0.0015424999999999998,0.000715,3.24276360962
0.0015424999999999998,0.0007625,3.18781766184
0.0015424999999999998,0.00081,3.13653938782
0.0015424999999999998,0.0008575,3.08413664148
0.0015424999999999998,0.000905,3.0329959546
0.0015424999999999998,0.0009525,2.98242062716
0.00204,5e-05,5.7850071536
0.00204,9.75e-05,5.79632518357
0.00204,0.000145,5.85201913762
0.00204,0.0001925,5.90382576259
0.00204,0.00024,5.96441227544
0.00204,0.0002875,6.16080886175
0.00204,0.000335,4.96617809627
0.00204,0.0003825,4.86330322888
0.00204,0.00043,4.77787456057
0.00204,0.0004775,4.68317557129
0.00204,0.000525,4.60241381448
0.00204,0.0005725,4.51652465069
0.00204,0.00062,4.42799616067
0.00204,0.0006675,4.36189074054
0.00204,0.000715,4.28172283814
0.00204,0.0007625,4.20707238351
0.00204,0.00081,4.13886928856
0.00204,0.0008575,4.07201287982
0.00204,0.000905,4.0043646028
0.00204,0.0009525,3.94351341958
0.0025375000000000003,5e-05,7.16715793999
0.0025375000000000003,9.75e-05,7.213284259
0.0025375000000000003,0.000145,7.29758350867
0.0025375000000000003,0.0001925,7.48042702122
0.0025375000000000003,0.00024,6.40827943872
0.0025375000000000003,0.0002875,6.29241969741
0.0025375000000000003,0.000335,6.15625308393
0.0025375000000000003,0.0003825,6.05530426889
0.0025375000000000003,0.00043,5.93841690772
0.0025375000000000003,0.0004775,5.84110831065
0.0025375000000000003,0.000525,5.72878348058
0.0025375000000000003,0.0005725,5.63990992866
0.0025375000000000003,0.00062,5.53809959191
0.0025375000000000003,0.0006675,5.44533316522
0.0025375000000000003,0.000715,5.35487954845
0.0025375000000000003,0.0007625,5.26196761513
0.0025375000000000003,0.00081,5.17890104436
0.0025375000000000003,0.0008575,5.09843282739
0.0025375000000000003,0.000905,5.01319852292
