"Time [s]"	0.0002	0.0004
1540	0.0000263	0.0000263
1550	0.0000328	0.0000328
1560	0.0000338	0.0000338
1570	0.0000337	0.0000337
1580	0.000049	0.000049
1590	0.000068	0.000068
1590	0.0000992	0.0000992
1600	0.000146	0.000146
1610	0.000145	0.000145
1620	0.000212	0.000212
1630	0.000237	0.000237
1640	0.000306	0.000306
1650	0.00044	0.00044
1660	0.000694	0.000694
1670	0.000827	0.000827
1680	0.00113	0.00113
1680	0.00118	0.00118
1690	0.0015	0.0015
1700	0.00214	0.00214
1710	0.00272	0.00272
1720	0.00286	0.00286
1730	0.00419	0.00419
1740	0.00526	0.00526
1750	0.00691	0.00691
1760	0.00788	0.00788
1770	0.00785	0.00785
1770	0.0114	0.0114
1780	0.0163	0.0163
1790	0.02	0.02
1800	0.02	0.02
1810	0.0259	0.0259
1820	0.0327	0.0327
1830	0.0406	0.0406
1840	0.0404	0.0404
1850	0.0402	0.0402
1860	0.0401	0.0401
1860	0.0556	0.0556
1870	0.0753	0.0753
1880	0.109	0.109
1890	0.135	0.135
1900	0.142	0.142
1910	0.194	0.194
1920	0.231	0.231
1930	0.289	0.289
1940	0.318	0.318
1950	0.378	0.378
1950	0.484	0.484
1960	0.614	0.614
1970	0.611	0.611
1980	0.807	0.807
1990	1.01	1.01
2000	1.01	1.01
2010	1.2	1.2
2020	1.45	1.45
2030	1.76	1.76
2040	2.3	2.3
2050	2.36	2.74
2050	2.88	2.73
2060	3.7	3.21
2070	3.75	3.81
2080	4.49	4.57
2090	4.87	5.51
2100	5.45	5.5
2110	5.7	5.76
2120	6.57	6.08
2130	6.55	6.07
2140	7.06	6.37
2140	7.53	7.15
2150	7.95	7.14
2160	8.19	7.43
2170	8.68	8.02
2180	8.65	8.41
2190	8.61	8.72
2200	8.91	8.69
2210	8.88	8.71
2220	8.84	9.17
2230	9.08	9.43
2230	9.29	9.68
2240	9.26	9.97
2250	9.43	9.94
2260	9.64	9.9
2270	9.86	9.86
2280	9.82	9.97
2290	9.98	10.1
2300	10.1	10.3
2310	10.2	10.3
2320	10.3	10.4
2320	10.4	10.5
2330	10.4	10.5
2340	10.5	10.6
2350	10.5	10.6
2360	10.5	10.6
2370	10.5	10.6
2380	10.6	10.6
2390	10.6	10.6
2400	10.6	10.7
2410	10.5	10.7
2410	10.6	10.7
2420	10.6	10.7
2430	10.6	10.7
2440	10.6	10.7
2450	10.5	10.7
2460	10.5	10.7
2470	10.5	10.7
2480	10.5	10.6
2490	10.5	10.6
2500	10.4	10.6
2500	10.4	10.6
2510	10.4	10.5
2520	10.4	10.5
2530	10.3	10.5
2540	10.3	10.5
2550	10.3	10.4
2560	10.2	10.4
2570	10.2	10.4
2580	10.2	10.3
2590	10.1	10.3
2590	10.1	10.3
2600	10.1	10.3
2610	10	10.2
2620	9.99	10.2
2630	9.96	10.2
2640	9.93	10.1
2650	9.89	10.1
2660	9.86	10.1
2670	9.82	10
2680	9.79	10
2680	9.75	9.98
2690	9.72	9.95
2700	9.69	9.92
2710	9.66	9.89
2720	9.62	9.86
2730	9.59	9.83
2740	9.56	9.8
2750	9.53	9.77
2760	9.5	9.74
2770	9.46	9.71
2770	9.43	9.68
2780	9.4	9.66
2790	9.37	9.63
2800	9.34	9.6
2810	9.3	9.57
2820	9.27	9.54
2830	9.24	9.52
2840	9.21	9.49
2850	9.18	9.46
2860	9.15	9.43
2860	9.12	9.41
2870	9.09	9.38
2880	9.06	9.35
2890	9.03	9.33
2900	9	9.3
2910	8.97	9.28
2920	8.95	9.25
2930	8.92	9.23
2940	8.89	9.2
2950	8.86	9.18
2950	8.83	9.15
2960	8.8	9.13
2970	8.78	9.1
2980	8.75	9.08
2990	8.72	9.06
3000	8.69	9.03
3010	8.67	9.01
3020	8.64	8.99
3030	8.62	8.97
3040	8.59	8.94
3050	8.56	8.92
3050	8.54	8.9
3060	8.51	8.88
3070	8.49	8.86
3080	8.46	8.83
3090	8.44	8.81
3100	8.41	8.79
3110	8.39	8.77
3120	8.36	8.75
3130	8.34	8.73
3140	8.31	8.71
3140	8.29	8.69
3150	8.27	8.67
3160	8.24	8.65
3170	8.22	8.63
3180	8.2	8.61
3190	8.17	8.59
3200	8.15	8.58
3210	8.13	8.56
3220	8.1	8.54
3230	8.08	8.52
3230	8.06	8.5
3240	8.04	8.48
3250	8.02	8.47
3260	7.99	8.45
3270	7.97	8.43
3280	7.95	8.42
3290	7.93	8.4
3300	7.91	8.38
3310	7.89	8.36
3320	7.87	8.35
3320	7.85	8.33
3330	7.83	8.32
3340	7.81	8.3
3350	7.79	8.28
3360	7.77	8.27
3370	7.75	8.25
3380	7.73	8.24
3390	7.71	8.22
3400	7.69	8.21
3410	7.67	8.19
3410	7.65	8.18
3420	7.63	8.16
3430	7.61	8.15
3440	7.59	8.13
3450	7.58	8.12
3460	7.56	8.11
3470	7.54	8.09
3480	7.52	8.08
3490	7.5	8.06
3500	7.49	8.05
3500	7.47	8.04
3510	7.45	8.02
3520	7.43	8.01
3530	7.42	8
3540	7.4	7.99
3550	7.38	7.97
3560	7.37	7.96
3570	7.35	7.95
3580	7.33	7.94
3590	7.32	7.92
3590	7.3	7.91
3600	7.28	7.9
3610	7.27	7.89
3620	7.25	7.88
3630	7.24	7.86
3640	7.22	7.85
3650	7.2	7.84
3660	7.19	7.83
3670	7.17	7.82
3680	7.16	7.81
3680	7.14	7.8
3690	7.13	7.79
3700	7.11	7.78
3710	7.1	7.77
3720	7.08	7.75
3730	7.07	7.74
3740	7.05	7.73
3750	7.04	7.72
3760	7.03	7.71
3770	7.01	7.7
3770	7	7.69
3780	6.98	7.68
3790	6.97	7.68
3800	6.96	7.67
3810	6.94	7.66
3820	6.93	7.65
3830	6.92	7.64
3840	6.9	7.63
3850	6.89	7.62
3860	6.88	7.61
3860	6.86	7.6
3870	6.85	7.59
3880	6.84	7.58
3890	6.82	7.58
3900	6.81	7.57
3910	6.8	7.56
3920	6.79	7.55
3930	6.77	7.54
3940	6.76	7.53
3950	6.75	7.53
3950	6.74	7.52
3960	6.73	7.51
3970	6.71	7.5
3980	6.7	7.5
3990	6.69	7.49
4000	6.68	7.48
4010	6.67	7.47
4020	6.66	7.47
4030	6.65	7.46
4040	6.63	7.45
4050	6.62	7.44
4050	6.61	7.44
4060	6.6	7.43
4070	6.59	7.42
4080	6.58	7.42
4090	6.57	7.41
4100	6.56	7.4
4110	6.55	7.4
4120	6.54	7.39
4130	6.53	7.38
4140	6.52	7.38
4140	6.51	7.37
4150	6.49	7.36
4160	6.48	7.36
4170	6.47	7.35
4180	6.46	7.35
4190	6.45	7.34
4200	6.44	7.33
4210	6.44	7.33
4220	6.43	7.32
4230	6.42	7.32
4230	6.41	7.31
4240	6.4	7.31
4250	6.39	7.3
4260	6.38	7.3
4270	6.37	7.29
4280	6.36	7.28
4290	6.35	7.28
4300	6.34	7.27
4310	6.33	7.27
4320	6.32	7.26
4320	6.31	7.26
4330	6.31	7.25
4340	6.3	7.25
4350	6.29	7.24
4360	6.28	7.24
4370	6.27	7.23
4380	6.26	7.23
4390	6.25	7.23
4400	6.25	7.22
4410	6.24	7.22
4410	6.23	7.21
4420	6.22	7.21
4430	6.21	7.2
4440	6.21	7.2
4450	6.2	7.19
4460	6.19	7.19
4470	6.18	7.19
4480	6.17	7.18
4490	6.17	7.18
4500	6.16	7.17
4500	6.15	7.17
4510	6.14	7.17
4520	6.14	7.16
4530	6.13	7.16
4540	6.12	7.15
4550	6.11	7.15
4560	6.11	7.15
4570	6.1	7.14
4580	6.09	7.14
4590	6.08	7.14
4590	6.08	7.13
4600	6.07	7.13
4610	6.06	7.13
4620	6.06	7.12
4630	6.05	7.12
4640	6.04	7.12
4650	6.04	7.11
4660	6.03	7.11
4670	6.02	7.11
4680	6.02	7.1
4680	6.01	7.1
4690	6	7.1
4700	6	7.09
4710	5.99	7.09
4720	5.98	7.09
4730	5.98	7.09
4740	5.97	7.08
4750	5.97	7.08
4760	5.96	7.08
4770	5.95	7.07
4770	5.95	7.07
4780	5.94	7.07
4790	5.93	7.07
4800	5.93	7.06
4810	5.92	7.06
4820	5.92	7.06
4830	5.91	7.06
4840	5.91	7.05
4850	5.9	7.05
4860	5.89	7.05
4860	5.89	7.05
4870	5.88	7.04
4880	5.88	7.04
4890	5.87	7.04
4900	5.87	7.04
4910	5.86	7.04
4920	5.85	7.03
4930	5.85	7.03
4940	5.84	7.03
4950	5.84	7.03
4950	5.83	7.02
4960	5.83	7.02
4970	5.82	7.02
4980	5.82	7.02
4990	5.81	7.02
5000	5.81	7.01
5010	5.8	7.01
5020	5.8	7.01
5030	5.79	7.01
5040	5.79	7.01
5050	5.78	7.01
5050	5.78	7
5060	5.77	7
5070	5.77	7
5080	5.76	7
5090	5.76	7
5100	5.75	7
5110	5.75	6.99
5120	5.75	6.99
5130	5.74	6.99
5140	5.74	6.99
5140	5.73	6.99
5150	5.73	6.99
5160	5.72	6.99
5170	5.72	6.98
5180	5.71	6.98
5190	5.71	6.98
5200	5.7	6.98
5210	5.7	6.98
5220	5.7	6.98
5230	5.69	6.98
5230	5.69	6.97
5240	5.68	6.97
5250	5.68	6.97
5260	5.68	6.97
5270	5.67	6.97
5280	5.67	6.97
5290	5.66	6.97
5300	5.66	6.97
5310	5.66	6.97
5320	5.65	6.96
5320	5.65	6.96
5330	5.64	6.96
5340	5.64	6.96
5350	5.64	6.96
5360	5.63	6.96
5370	5.63	6.96
5380	5.62	6.96
5390	5.62	6.96
5400	5.62	6.96
5410	5.61	6.95
5410	5.61	6.95
5420	5.61	6.95
5430	5.6	6.95
5440	5.6	6.95
5450	5.6	6.95
5460	5.59	6.95
5470	5.59	6.95
5480	5.59	6.95
5490	5.58	6.95
5500	5.58	6.95
5500	5.58	6.95
5510	5.57	6.95
5520	5.57	6.95
5530	5.56	6.94
5540	5.56	6.94
5550	5.56	6.94
5560	5.56	6.94
5570	5.55	6.94
5580	5.55	6.94
5590	5.55	6.94
5590	5.54	6.94
5600	5.54	6.94
5610	5.54	6.94
5620	5.53	6.94
5630	5.53	6.94
5640	5.53	6.94
5650	5.52	6.94
5660	5.52	6.94
5670	5.52	6.94
5680	5.52	6.94
5680	5.51	6.94
5690	5.51	6.94
5700	5.51	6.94
5710	5.5	6.94
5720	5.5	6.93
5730	5.5	6.93
5740	5.49	6.93
5750	5.49	6.93
5760	5.49	6.93
5770	5.49	6.93
5770	5.48	6.93
5780	5.48	6.93
5790	5.48	6.93
5800	5.48	6.93
5810	5.47	6.93
5820	5.47	6.93
5830	5.47	6.93
5840	5.47	6.93
5850	5.46	6.93
5860	5.46	6.93
5860	5.46	6.93
5870	5.45	6.93
5880	5.45	6.93
5890	5.45	6.93
5900	5.45	6.93
5910	5.45	6.93
5920	5.44	6.93
5930	5.44	6.93
5940	5.44	6.93
5950	5.44	6.93
5950	5.43	6.93
5960	5.43	6.93
5970	5.43	6.93
5980	5.43	6.93
5990	5.42	6.93
6000	5.42	6.93
6010	5.42	6.93
6020	5.42	6.93
6030	5.41	6.93
6040	5.41	6.93
6050	5.41	6.93
6050	5.41	6.93
6060	5.41	6.93
6070	5.4	6.93
6080	5.4	6.93
6090	5.4	6.93
6100	5.4	6.93
6110	5.39	6.93
6120	5.39	6.93
6130	5.39	6.93
6140	5.39	6.93
6140	5.39	6.93
6150	5.38	6.93
6160	5.38	6.93
6170	5.38	6.93
6180	5.38	6.93
6190	5.38	6.93
6200	5.37	6.93
6210	5.37	6.93
6220	5.37	6.93
6230	5.37	6.93
6230	5.37	6.93
6240	5.36	6.93
6250	5.36	6.93
6260	5.36	6.93
6270	5.36	6.93
6280	5.36	6.93
6290	5.36	6.93
6300	5.35	6.93
6310	5.35	6.94
6320	5.35	6.94
6320	5.35	6.94
6330	5.35	6.94
6340	5.34	6.94
6350	5.34	6.94
6360	5.34	6.94
6370	5.34	6.94
6380	5.34	6.94
6390	5.34	6.94
6400	5.33	6.94
6410	5.33	6.94
6410	5.33	6.94
6420	5.33	6.94
6430	5.33	6.94
6440	5.33	6.94
6450	5.32	6.94
6460	5.32	6.94
6470	5.32	6.94
6480	5.32	6.94
6490	5.32	6.94
6500	5.32	6.94
