"[A*] dc 0.4 nu0.15"	"[B*] dc 0.4 nu0.15"	"[A*] dc 0.4 nu0.15 t4350"	"[B*] dc 0.4 nu0.15 t4350"	"[A*] dc 0.5 nu0.15"	"[B*] dc 0.5 nu0.15"	"[A*] dc 0.75 nu0.15"	"[B*] dc 0.75 nu0.15"
0.567	1e-026	0.567	1e-026	0.895	1.08e-022	1.66	2.11e-014
0.572	9.99e-027	0.572	9.99e-027	0.911	1.07e-022	1.69	3.79e-014
0.577	9.95e-027	0.577	9.95e-027	0.925	1.07e-022	1.72	7.53e-014
0.581	9.9e-027	0.581	9.9e-027	0.938	1.77e-022	1.74	1.34e-013
0.585	9.86e-027	0.585	9.86e-027	0.951	4.38e-022	1.77	2.66e-013
0.588	9.81e-027	0.588	9.81e-027	0.967	8.27e-022	1.79	5.38e-013
0.591	9.77e-027	0.591	9.77e-027	0.983	1.16e-021	1.82	1.02e-012
0.593	9.72e-027	0.593	9.72e-027	1	1.44e-021	1.84	1.97e-012
0.595	9.68e-027	0.595	9.68e-027	1.01	1.44e-021	1.87	4.22e-012
0.597	9.64e-027	0.597	9.64e-027	1.03	2.19e-021	1.9	8.51e-012
0.599	2.36e-026	0.599	2.36e-026	1.04	3.86e-021	1.92	1.51e-011
0.601	2.34e-026	0.601	2.34e-026	1.06	6.86e-021	1.95	3.09e-011
0.603	2.33e-026	0.603	2.33e-026	1.07	9.33e-021	1.97	5.43e-011
0.604	2.32e-026	0.604	2.32e-026	1.09	1.14e-020	2	1.01e-010
0.606	2.31e-026	0.606	2.31e-026	1.1	1.9e-020	2.03	1.87e-010
0.607	2.3e-026	0.607	2.3e-026	1.12	3.61e-020	2.05	3.27e-010
0.608	2.29e-026	0.608	2.29e-026	1.14	6.18e-020	2.08	6.41e-010
0.609	2.28e-026	0.609	2.28e-026	1.15	8.91e-020	2.1	1.36e-009
0.61	5.09e-026	0.61	5.09e-026	1.17	1.1e-019	2.13	2.7e-009
0.612	5.93e-026	0.612	5.93e-026	1.19	1.55e-019	2.15	5.22e-009
0.614	5.9e-026	0.614	5.9e-026	1.21	3.04e-019	2.18	1e-008
0.617	9.44e-026	0.617	9.44e-026	1.22	4.46e-019	2.2	1.93e-008
0.62	1.24e-025	0.62	1.24e-025	1.24	6.45e-019	2.23	3.73e-008
0.624	1.49e-025	0.624	1.49e-025	1.26	8.5e-019	2.26	7.25e-008
0.629	1.99e-025	0.629	1.99e-025	1.28	1.38e-018	2.28	1.41e-007
0.635	2.37e-025	0.635	2.37e-025	1.29	2.06e-018	2.31	2.77e-007
0.641	2.75e-025	0.641	2.75e-025	1.31	2.84e-018	2.34	5.45e-007
0.648	3.57e-025	0.648	3.57e-025	1.33	5.99e-018	2.37	0.00000107
0.656	4.88e-025	0.656	4.88e-025	1.34	8.24e-018	2.39	0.00000195
0.665	5.49e-025	0.665	5.49e-025	1.36	1.14e-017	2.42	0.00000403
0.673	5.47e-025	0.673	5.47e-025	1.38	1.86e-017	2.45	0.00000813
0.681	5.44e-025	0.681	5.44e-025	1.4	2.59e-017	2.48	0.000016
0.688	7.01e-025	0.688	7.01e-025	1.41	3.8e-017	2.5	0.0000302
0.696	9.4e-025	0.696	9.4e-025	1.43	6.29e-017	2.53	0.000062
0.704	1.11e-024	0.704	1.11e-024	1.44	1.05e-016	2.56	0.000109
0.712	1.31e-024	0.712	1.31e-024	1.46	1.86e-016	2.58	0.000193
0.72	1.31e-024	0.72	1.31e-024	1.48	2.76e-016	2.61	0.000426
0.728	1.62e-024	0.728	1.62e-024	1.5	4.95e-016	2.63	0.000872
0.735	1.87e-024	0.735	1.87e-024	1.52	8.48e-016	2.66	0.00173
0.742	2.51e-024	0.742	2.51e-024	1.54	1.18e-015	2.69	0.0031
0.75	3.05e-024	0.75	3.05e-024	1.56	1.51e-015	2.71	0.00632
0.758	4.22e-024	0.758	4.22e-024	1.58	2.39e-015	2.74	0.0112
0.767	5.27e-024	0.767	5.27e-024	1.59	4.81e-015	2.77	0.0231
0.775	6.27e-024	0.775	6.27e-024	1.61	8.76e-015	2.79	0.0371
0.784	8.69e-024	0.784	8.69e-024	1.63	1.28e-014	2.82	0.0713
0.794	1.05e-023	0.794	1.05e-023	1.65	1.81e-014	2.84	0.137
0.803	1.28e-023	0.803	1.28e-023	1.67	2.52e-014	2.87	0.228
0.813	1.78e-023	0.813	1.78e-023	1.69	4.32e-014	2.89	0.438
