"[A*] dc 0.4 nu0.15"	"[B*] dc 0.4 nu0.15"	"[A*] dc 0.4 nu0.15 t4350"	"[B*] dc 0.4 nu0.15 t4350"	"[A*] dc 0.5 nu0.15"	"[B*] dc 0.5 nu0.15"	"[A*] dc 0.75 nu0.15"	"[B*] dc 0.75 nu0.15"
1.97	6.79e-011	1.97	6.79e-011	2.58	8.67	2.28	8.97
1.98	1.02e-010	1.98	1.02e-010	2.58	8.64	2.27	8.94
1.99	1.48e-010	1.99	1.48e-010	2.57	8.62	2.27	8.92
2	1.89e-010	2	1.89e-010	2.57	8.59	2.26	8.9
2.01	2.17e-010	2.01	2.17e-010	2.57	8.56	2.26	8.88
2.02	3.23e-010	2.02	3.23e-010	2.56	8.54	2.26	8.86
2.04	4.08e-010	2.04	4.08e-010	2.56	8.51	2.25	8.83
2.05	4.74e-010	2.05	4.74e-010	2.55	8.49	2.25	8.81
2.06	5.96e-010	2.06	5.96e-010	2.55	8.46	2.25	8.79
2.07	6.55e-010	2.07	6.55e-010	2.55	8.44	2.24	8.77
2.08	8.06e-010	2.08	8.06e-010	2.54	8.41	2.24	8.75
2.09	1.1e-009	2.09	1.1e-009	2.54	8.39	2.23	8.73
2.1	1.47e-009	2.1	1.47e-009	2.53	8.36	2.23	8.71
2.11	1.47e-009	2.11	1.47e-009	2.53	8.34	2.23	8.68
2.12	2.14e-009	2.12	2.14e-009	2.52	8.31	2.22	8.66
2.13	2.29e-009	2.13	2.29e-009	2.52	8.29	2.22	8.64
2.14	2.28e-009	2.14	2.28e-009	2.52	8.27	2.22	8.62
2.14	2.27e-009	2.14	2.27e-009	2.51	8.24	2.21	8.6
2.15	2.26e-009	2.15	2.26e-009	2.51	8.22	2.21	8.58
2.15	2.25e-009	2.15	2.25e-009	2.5	8.2	2.2	8.56
2.16	2.24e-009	2.16	2.24e-009	2.5	8.17	2.2	8.54
2.16	2.23e-009	2.16	2.23e-009	2.49	8.15	2.2	8.52
2.16	2.49e-009	2.16	2.49e-009	2.49	8.13	2.19	8.5
2.17	5.08e-009	2.17	5.08e-009	2.49	8.1	2.19	8.48
2.17	6.64e-009	2.17	6.64e-009	2.48	8.08	2.19	8.47
2.17	8.91e-009	2.17	8.91e-009	2.48	8.06	2.18	8.45
2.18	1.21e-008	2.18	1.21e-008	2.47	8.04	2.18	8.43
2.18	1.21e-008	2.18	1.21e-008	2.47	8.02	2.18	8.41
2.19	1.56e-008	2.19	1.56e-008	2.47	7.99	2.17	8.39
2.2	2.4e-008	2.2	2.4e-008	2.46	7.97	2.17	8.37
2.2	2.72e-008	2.2	2.72e-008	2.46	7.95	2.16	8.35
2.21	3.95e-008	2.21	3.95e-008	2.45	7.93	2.16	8.33
2.22	4.62e-008	2.22	4.62e-008	2.45	7.91	2.16	8.32
2.23	5.2e-008	2.23	5.2e-008	2.45	7.89	2.15	8.3
2.24	5.78e-008	2.24	5.78e-008	2.44	7.87	2.15	8.28
2.24	6.92e-008	2.24	6.92e-008	2.44	7.85	2.15	8.26
2.25	7.99e-008	2.25	7.99e-008	2.43	7.83	2.14	8.24
2.26	9.23e-008	2.26	9.23e-008	2.43	7.81	2.14	8.23
2.27	9.38e-008	2.27	9.38e-008	2.42	7.79	2.14	8.21
2.27	9.61e-008	2.27	9.61e-008	2.42	7.77	2.13	8.19
2.28	1.38e-007	2.28	1.38e-007	2.42	7.75	2.13	8.17
2.29	1.65e-007	2.29	1.65e-007	2.41	7.73	2.13	8.16
2.29	1.73e-007	2.29	1.73e-007	2.41	7.71	2.12	8.14
2.3	2.41e-007	2.3	2.41e-007	2.4	7.69	2.12	8.12
2.31	3.39e-007	2.31	3.39e-007	2.4	7.67	2.11	8.11
2.31	4.1e-007	2.31	4.1e-007	2.4	7.65	2.11	8.09
2.32	4.44e-007	2.32	4.44e-007	2.39	7.63	2.11	8.07
2.33	4.42e-007	2.33	4.42e-007	2.39	7.61	2.1	8.06
2.33	4.4e-007	2.33	4.4e-007	2.38	7.59	2.1	8.04
2.34	4.38e-007	2.34	4.38e-007	2.38	7.58	2.1	8.02
2.34	5.52e-007	2.34	5.52e-007	2.38	7.56	2.09	8.01
2.35	9.71e-007	2.35	9.71e-007	2.37	7.54	2.09	7.99
2.36	0.00000117	2.36	0.00000117	2.37	7.52	2.09	7.98
2.36	0.00000135	2.36	0.00000135	2.37	7.5	2.08	7.96
2.37	0.00000208	2.37	0.00000208	2.36	7.49	2.08	7.95
2.38	0.00000212	2.38	0.00000212	2.36	7.47	2.08	7.93
2.39	0.00000211	2.39	0.00000211	2.35	7.45	2.07	7.91
2.39	0.00000249	2.39	0.00000249	2.35	7.43	2.07	7.9
2.4	0.00000297	2.4	0.00000297	2.35	7.42	2.07	7.88
2.41	0.00000361	2.41	0.00000361	2.34	7.4	2.06	7.87
2.41	0.00000476	2.41	0.00000476	2.34	7.38	2.06	7.85
2.42	0.00000552	2.42	0.00000552	2.33	7.37	2.06	7.84
2.43	0.00000673	2.43	0.00000673	2.33	7.35	2.05	7.82
2.44	0.00000883	2.44	0.00000883	2.33	7.33	2.05	7.81
2.44	0.0000118	2.44	0.0000118	2.32	7.32	2.05	7.79
2.45	0.0000143	2.45	0.0000143	2.32	7.3	2.04	7.78
2.46	0.0000175	2.46	0.0000175	2.31	7.28	2.04	7.77
2.47	0.0000201	2.47	0.0000201	2.31	7.27	2.04	7.75
2.48	0.0000223	2.48	0.0000223	2.31	7.25	2.03	7.74
2.49	0.0000236	2.49	0.0000236	2.3	7.24	2.03	7.72
2.49	0.0000235	2.49	0.0000235	2.3	7.22	2.03	7.71
2.5	0.0000336	2.5	0.0000336	2.3	7.2	2.02	7.7
2.51	0.000047	2.51	0.000047	2.29	7.19	2.02	7.68
2.52	0.0000619	2.52	0.0000619	2.29	7.17	2.01	7.67
2.53	0.0000812	2.53	0.0000812	2.28	7.16	2.01	7.65
2.53	0.0000956	2.53	0.0000956	2.28	7.14	2.01	7.64
2.54	0.000111	2.54	0.000111	2.28	7.13	2	7.63
2.55	0.000131	2.55	0.000131	2.27	7.11	2	7.61
2.56	0.000155	2.56	0.000155	2.27	7.1	2	7.6
2.57	0.000183	2.57	0.000183	2.26	7.08	1.99	7.59
2.57	0.000219	2.57	0.000219	2.26	7.07	1.99	7.57
2.58	0.000261	2.58	0.000261	2.26	7.05	1.99	7.56
2.59	0.000409	2.59	0.000409	2.25	7.04	1.98	7.55
2.6	0.000441	2.6	0.000441	2.25	7.03	1.98	7.54
2.6	0.000517	2.6	0.000517	2.25	7.01	1.98	7.52
2.61	0.000659	2.61	0.000659	2.24	7	1.98	7.51
2.62	0.000705	2.62	0.000705	2.24	6.98	1.97	7.5
2.63	0.000841	2.63	0.000841	2.23	6.97	1.97	7.48
2.64	0.00137	2.64	0.00137	2.23	6.96	1.97	7.47
2.64	0.00143	2.64	0.00143	2.23	6.94	1.96	7.46
2.65	0.00168	2.65	0.00168	2.22	6.93	1.96	7.45
2.66	0.00196	2.66	0.00196	2.22	6.92	1.96	7.44
2.67	0.00234	2.67	0.00234	2.22	6.9	1.95	7.42
2.68	0.0028	2.68	0.0028	2.21	6.89	1.95	7.41
2.68	0.00382	2.68	0.00382	2.21	6.88	1.95	7.4
2.69	0.00451	2.69	0.00451	2.21	6.86	1.94	7.39
2.7	0.00544	2.7	0.00544	2.2	6.85	1.94	7.38
2.71	0.00613	2.71	0.00613	2.2	6.84	1.94	7.36
2.71	0.00611	2.71	0.00611	2.19	6.82	1.93	7.35
2.72	0.00788	2.72	0.00788	2.19	6.81	1.93	7.34
2.73	0.0105	2.73	0.0105	2.19	6.8	1.93	7.33
2.73	0.0123	2.73	0.0123	2.18	6.79	1.92	7.32
2.74	0.0155	2.74	0.0155	2.18	6.77	1.92	7.31
2.75	0.0195	2.75	0.0195	2.18	6.76	1.92	7.3
2.75	0.0226	2.75	0.0226	2.17	6.75	1.91	7.28
2.76	0.0286	2.76	0.0286	2.17	6.74	1.91	7.27
2.77	0.0348	2.77	0.0348	2.17	6.73	1.91	7.26
2.78	0.0401	2.78	0.0401	2.16	6.71	1.9	7.25
2.78	0.0462	2.78	0.0462	2.16	6.7	1.9	7.24
2.79	0.0541	2.79	0.0541	2.15	6.69	1.9	7.23
2.8	0.0631	2.8	0.0631	2.15	6.68	1.89	7.22
2.8	0.0628	2.8	0.0628	2.15	6.67	1.89	7.21
2.81	0.0625	2.81	0.0756	2.14	6.66	1.89	7.2
2.81	0.0623	2.81	0.0918	2.14	6.65	1.89	7.19
2.82	0.062	2.82	0.123	2.14	6.63	1.88	7.18
2.82	0.0617	2.83	0.143	2.13	6.62	1.88	7.17
2.82	0.0614	2.83	0.172	2.13	6.61	1.88	7.16
2.82	0.0612	2.84	0.219	2.13	6.6	1.87	7.14
2.82	0.0609	2.85	0.25	2.12	6.59	1.87	7.13
2.82	0.0606	2.85	0.303	2.12	6.58	1.87	7.12
2.82	0.0603	2.86	0.327	2.12	6.57	1.86	7.11
2.82	0.0601	2.87	0.325	2.11	6.56	1.86	7.1
2.82	0.0598	2.87	0.324	2.11	6.55	1.86	7.09
2.82	0.0595	2.88	0.322	2.1	6.54	1.85	7.08
2.82	0.0593	2.88	0.321	2.1	6.53	1.85	7.07
2.82	0.059	2.88	0.319	2.1	6.52	1.85	7.07
2.81	0.0587	2.88	0.403	2.09	6.51	1.84	7.06
2.81	0.0585	2.89	0.489	2.09	6.49	1.84	7.05
2.81	0.0582	2.89	0.657	2.09	6.48	1.84	7.04
2.81	0.0579	2.89	0.775	2.08	6.47	1.84	7.03
2.8	0.0577	2.9	0.779	2.08	6.46	1.83	7.02
2.8	0.0574	2.9	0.884	2.08	6.45	1.83	7.01
2.8	0.0572	2.9	0.88	2.07	6.44	1.83	7
2.79	0.0569	2.9	0.876	2.07	6.44	1.82	6.99
2.79	0.0566	2.91	0.872	2.07	6.43	1.82	6.98
2.79	0.0564	2.91	0.868	2.06	6.42	1.82	6.97
2.78	0.0561	2.91	0.914	2.06	6.41	1.81	6.96
2.78	0.0559	2.91	1.01	2.06	6.4	1.81	6.95
2.78	0.0556	2.91	1.16	2.05	6.39	1.81	6.94
2.77	0.0554	2.91	1.38	2.05	6.38	1.81	6.94
2.77	0.0551	2.91	1.61	2.05	6.37	1.8	6.93
2.76	0.0549	2.91	1.77	2.04	6.36	1.8	6.92
2.76	0.0546	2.92	1.93	2.04	6.35	1.8	6.91
2.76	0.0544	2.92	1.92	2.04	6.34	1.79	6.9
2.75	0.0542	2.92	1.91	2.03	6.33	1.79	6.89
2.75	0.0539	2.92	1.9	2.03	6.32	1.79	6.88
2.74	0.0537	2.92	1.89	2.03	6.31	1.78	6.87
2.74	0.0534	2.92	1.88	2.02	6.31	1.78	6.87
2.73	0.0532	2.92	1.88	2.02	6.3	1.78	6.86
2.73	0.0529	2.92	1.87	2.02	6.29	1.78	6.85
2.73	0.0527	2.92	1.86	2.01	6.28	1.77	6.84
2.72	0.0525	2.92	1.85	2.01	6.27	1.77	6.83
2.72	0.0522	2.92	1.84	2.01	6.26	1.77	6.82
2.71	0.052	2.92	1.83	2	6.25	1.76	6.82
2.71	0.0518	2.91	1.83	2	6.25	1.76	6.81
2.7	0.0515	2.91	1.82	2	6.24	1.76	6.8
2.7	0.0513	2.91	1.81	1.99	6.23	1.75	6.79
2.7	0.0511	2.91	1.8	1.99	6.22	1.75	6.78
2.69	0.0508	2.9	1.79	1.99	6.21	1.75	6.78
2.69	0.0506	2.9	1.79	1.98	6.21	1.75	6.77
2.68	0.0504	2.9	1.78	1.98	6.2	1.74	6.76
2.68	0.0502	2.89	1.77	1.98	6.19	1.74	6.75
2.67	0.0499	2.89	1.76	1.97	6.18	1.74	6.74
2.67	0.0497	2.89	1.75	1.97	6.17	1.73	6.74
2.66	0.0495	2.88	1.75	1.97	6.17	1.73	6.73
2.66	0.0493	2.88	1.74	1.96	6.16	1.73	6.72
2.66	0.049	2.87	1.73	1.96	6.15	1.73	6.71
2.65	0.0488	2.87	1.72	1.96	6.14	1.72	6.71
2.65	0.0486	2.87	1.71	1.95	6.14	1.72	6.7
2.64	0.0484	2.86	1.71	1.95	6.13	1.72	6.69
2.64	0.0482	2.86	1.7	1.95	6.12	1.71	6.68
2.63	0.048	2.85	1.69	1.94	6.11	1.71	6.68
2.63	0.0477	2.85	1.68	1.94	6.11	1.71	6.67
2.63	0.0475	2.84	1.68	1.94	6.1	1.71	6.66
2.62	0.0473	2.84	1.67	1.93	6.09	1.7	6.66
2.62	0.0471	2.84	1.66	1.93	6.08	1.7	6.65
2.61	0.0469	2.83	1.65	1.93	6.08	1.7	6.64
2.61	0.0467	2.83	1.65	1.92	6.07	1.69	6.63
2.6	0.0465	2.82	1.64	1.92	6.06	1.69	6.63
2.6	0.0463	2.82	1.63	1.92	6.06	1.69	6.62
2.59	0.046	2.81	1.62	1.91	6.05	1.69	6.61
2.59	0.0458	2.81	1.62	1.91	6.04	1.68	6.61
2.59	0.0456	2.8	1.61	1.91	6.04	1.68	6.6
2.58	0.0454	2.8	1.6	1.9	6.03	1.68	6.59
2.58	0.0452	2.79	1.6	1.9	6.02	1.67	6.59
2.57	0.045	2.79	1.59	1.9	6.02	1.67	6.58
2.57	0.0448	2.79	1.58	1.9	6.01	1.67	6.57
2.56	0.0446	2.78	1.57	1.89	6	1.67	6.57
2.56	0.0444	2.78	1.57	1.89	6	1.66	6.56
2.56	0.0442	2.77	1.56	1.89	5.99	1.66	6.55
2.55	0.044	2.77	1.55	1.88	5.98	1.66	6.55
2.55	0.0438	2.76	1.55	1.88	5.98	1.66	6.54
2.54	0.0436	2.76	1.54	1.88	5.97	1.65	6.53
2.54	0.0434	2.75	1.53	1.87	5.97	1.65	6.53
2.54	0.0432	2.75	1.53	1.87	5.96	1.65	6.52
2.53	0.043	2.74	1.52	1.87	5.95	1.64	6.52
2.53	0.0428	2.74	1.51	1.86	5.95	1.64	6.51
2.52	0.0427	2.74	1.5	1.86	5.94	1.64	6.5
2.52	0.0425	2.73	1.5	1.86	5.93	1.64	6.5
2.51	0.0423	2.73	1.49	1.85	5.93	1.63	6.49
2.51	0.0421	2.72	1.48	1.85	5.92	1.63	6.48
2.51	0.0419	2.72	1.48	1.85	5.92	1.63	6.48
2.5	0.0417	2.71	1.47	1.85	5.91	1.63	6.47
2.5	0.0415	2.71	1.46	1.84	5.91	1.62	6.47
2.49	0.0413	2.7	1.46	1.84	5.9	1.62	6.46
2.49	0.0411	2.7	1.45	1.84	5.89	1.62	6.45
2.49	0.041	2.7	1.44	1.83	5.89	1.61	6.45
2.48	0.0408	2.69	1.44	1.83	5.88	1.61	6.44
2.48	0.0406	2.69	1.43	1.83	5.88	1.61	6.44
2.47	0.0404	2.68	1.43	1.82	5.87	1.61	6.43
2.47	0.0402	2.68	1.42	1.82	5.87	1.6	6.43
2.46	0.04	2.67	1.41	1.82	5.86	1.6	6.42
2.46	0.0399	2.67	1.41	1.81	5.85	1.6	6.41
2.46	0.0397	2.66	1.4	1.81	5.85	1.6	6.41
2.45	0.0395	2.66	1.39	1.81	5.84	1.59	6.4
2.45	0.0393	2.66	1.39	1.81	5.84	1.59	6.4
2.44	0.0392	2.65	1.38	1.8	5.83	1.59	6.39
2.44	0.039	2.65	1.37	1.8	5.83	1.59	6.39
2.44	0.0388	2.64	1.37	1.8	5.82	1.58	6.38
2.43	0.0386	2.64	1.36	1.79	5.82	1.58	6.37
2.43	0.0385	2.63	1.36	1.79	5.81	1.58	6.37
2.42	0.0383	2.63	1.35	1.79	5.81	1.57	6.36
2.42	0.0381	2.62	1.34	1.78	5.8	1.57	6.36
2.42	0.0379	2.62	1.34	1.78	5.8	1.57	6.35
2.41	0.0378	2.62	1.33	1.78	5.79	1.57	6.35
2.41	0.0376	2.61	1.33	1.78	5.79	1.56	6.34
2.4	0.0374	2.61	1.32	1.77	5.78	1.56	6.34
2.4	0.0373	2.6	1.31	1.77	5.78	1.56	6.33
2.4	0.0371	2.6	1.31	1.77	5.77	1.56	6.33
2.39	0.0369	2.59	1.3	1.76	5.77	1.55	6.32
2.39	0.0368	2.59	1.3	1.76	5.76	1.55	6.32
2.38	0.0366	2.59	1.29	1.76	5.76	1.55	6.31
2.38	0.0364	2.58	1.29	1.76	5.75	1.55	6.31
2.38	0.0363	2.58	1.28	1.75	5.75	1.54	6.3
2.37	0.0361	2.57	1.27	1.75	5.75	1.54	6.3
2.37	0.0359	2.57	1.27	1.75	5.74	1.54	6.29
2.36	0.0358	2.56	1.26	1.74	5.74	1.54	6.29
2.36	0.0356	2.56	1.26	1.74	5.73	1.53	6.28
2.36	0.0355	2.56	1.25	1.74	5.73	1.53	6.28
2.35	0.0353	2.55	1.25	1.73	5.72	1.53	6.27
2.35	0.0351	2.55	1.24	1.73	5.72	1.53	6.27
2.34	0.035	2.54	1.23	1.73	5.71	1.52	6.26
2.34	0.0348	2.54	1.23	1.73	5.71	1.52	6.26
2.34	0.0347	2.53	1.22	1.72	5.7	1.52	6.25
2.33	0.0345	2.53	1.22	1.72	5.7	1.52	6.25
2.33	0.0344	2.53	1.21	1.72	5.7	1.51	6.24
2.32	0.0342	2.52	1.21	1.71	5.69	1.51	6.24
2.32	0.034	2.52	1.2	1.71	5.69	1.51	6.23
2.32	0.0339	2.51	1.2	1.71	5.68	1.51	6.23
2.31	0.0337	2.51	1.19	1.71	5.68	1.5	6.22
2.31	0.0336	2.51	1.19	1.7	5.68	1.5	6.22
2.31	0.0334	2.5	1.18	1.7	5.67	1.5	6.22
2.3	0.0333	2.5	1.17	1.7	5.67	1.5	6.21
2.3	0.0331	2.49	1.17	1.69	5.66	1.49	6.21
2.29	0.033	2.49	1.16	1.69	5.66	1.49	6.2
2.29	0.0328	2.48	1.16	1.69	5.66	1.49	6.2
2.29	0.0327	2.48	1.15	1.69	5.65	1.49	6.19
2.28	0.0326	2.48	1.15	1.68	5.65	1.48	6.19
2.28	0.0324	2.47	1.14	1.68	5.64	1.48	6.18
2.28	0.0323	2.47	1.14	1.68	5.64	1.48	6.18
2.27	0.0321	2.46	1.13	1.68	5.64	1.48	6.18
2.27	0.032	2.46	1.13	1.67	5.63	1.47	6.17
2.26	0.0318	2.46	1.12	1.67	5.63	1.47	6.17
2.26	0.0317	2.45	1.12	1.67	5.62	1.47	6.16
2.26	0.0315	2.45	1.11	1.66	5.62	1.47	6.16
2.25	0.0314	2.44	1.11	1.66	5.62	1.46	6.15
2.25	0.0313	2.44	1.1	1.66	5.61	1.46	6.15
2.24	0.0311	2.44	1.1	1.66	5.61	1.46	6.15
2.24	0.031	2.43	1.09	1.65	5.61	1.46	6.14
2.24	0.0308	2.43	1.09	1.65	5.6	1.45	6.14
2.23	0.0307	2.42	1.08	1.65	5.6	1.45	6.13
2.23	0.0306	2.42	1.08	1.64	5.6	1.45	6.13
2.23	0.0304	2.41	1.07	1.64	5.59	1.45	6.13
2.22	0.0303	2.41	1.07	1.64	5.59	1.44	6.12
2.22	0.0302	2.41	1.06	1.64	5.59	1.44	6.12
2.22	0.03	2.4	1.06	1.63	5.58	1.44	6.11
2.21	0.0299	2.4	1.05	1.63	5.58	1.44	6.11
2.21	0.0297	2.39	1.05	1.63	5.58	1.43	6.11
2.2	0.0296	2.39	1.04	1.63	5.57	1.43	6.1
2.2	0.0295	2.39	1.04	1.62	5.57	1.43	6.1
2.2	0.0293	2.38	1.04	1.62	5.56	1.43	6.09
2.19	0.0292	2.38	1.03	1.62	5.56	1.42	6.09
2.19	0.0291	2.38	1.03	1.61	5.56	1.42	6.09
2.19	0.029	2.37	1.02	1.61	5.56	1.42	6.08
2.18	0.0288	2.37	1.02	1.61	5.55	1.42	6.08
2.18	0.0287	2.36	1.01	1.61	5.55	1.42	6.07
2.17	0.0286	2.36	1.01	1.6	5.55	1.41	6.07
2.17	0.0284	2.36	1	1.6	5.54	1.41	6.07
2.17	0.0283	2.35	0.999	1.6	5.54	1.41	6.06
2.16	0.0282	2.35	0.994	1.6	5.54	1.41	6.06
2.16	0.0281	2.34	0.99	1.59	5.53	1.4	6.06
2.16	0.0279	2.34	0.985	1.59	5.53	1.4	6.05
2.15	0.0278	2.34	0.981	1.59	5.53	1.4	6.05
2.15	0.0277	2.33	0.976	1.59	5.52	1.4	6.04
2.15	0.0276	2.33	0.972	1.58	5.52	1.39	6.04
2.14	0.0274	2.32	0.968	1.58	5.52	1.39	6.04
2.14	0.0273	2.32	0.963	1.58	5.52	1.39	6.03
2.14	0.0272	2.32	0.959	1.58	5.51	1.39	6.03
2.13	0.0271	2.31	0.955	1.57	5.51	1.39	6.03
2.13	0.0269	2.31	0.95	1.57	5.51	1.38	6.02
2.12	0.0268	2.3	0.946	1.57	5.5	1.38	6.02
2.12	0.0267	2.3	0.942	1.56	5.5	1.38	6.02
2.12	0.0266	2.3	0.938	1.56	5.5	1.38	6.01
2.11	0.0265	2.29	0.933	1.56	5.49	1.37	6.01
2.11	0.0263	2.29	0.929	1.56	5.49	1.37	6.01
2.11	0.0262	2.29	0.925	1.55	5.49	1.37	6
2.1	0.0261	2.28	0.921	1.55	5.49	1.37	6
2.1	0.026	2.28	0.917	1.55	5.48	1.36	6
2.1	0.0259	2.27	0.913	1.55	5.48	1.36	5.99
2.09	0.0258	2.27	0.908	1.54	5.48	1.36	5.99
2.09	0.0256	2.27	0.904	1.54	5.48	1.36	5.99
2.09	0.0255	2.26	0.9	1.54	5.47	1.36	5.98
2.08	0.0254	2.26	0.896	1.54	5.47	1.35	5.98
2.08	0.0253	2.26	0.892	1.53	5.47	1.35	5.98
2.08	0.0252	2.25	0.888	1.53	5.47	1.35	5.97
2.07	0.0251	2.25	0.884	1.53	5.46	1.35	5.97
2.07	0.025	2.24	0.88	1.53	5.46	1.34	5.97
2.07	0.0248	2.24	0.876	1.52	5.46	1.34	5.96
2.06	0.0247	2.24	0.872	1.52	5.45	1.34	5.96
2.06	0.0246	2.23	0.868	1.52	5.45	1.34	5.96
2.06	0.0245	2.23	0.865	1.52	5.45	1.34	5.95
2.05	0.0244	2.23	0.861	1.51	5.45	1.33	5.95
2.05	0.0243	2.22	0.857	1.51	5.45	1.33	5.95
2.04	0.0242	2.22	0.853	1.51	5.44	1.33	5.94
2.04	0.0241	2.21	0.849	1.51	5.44	1.33	5.94
2.04	0.024	2.21	0.845	1.5	5.44	1.32	5.94
2.03	0.0239	2.21	0.842	1.5	5.44	1.32	5.93
2.03	0.0237	2.2	0.838	1.5	5.43	1.32	5.93
2.03	0.0236	2.2	0.834	1.5	5.43	1.32	5.93
2.02	0.0235	2.2	0.83	1.49	5.43	1.32	5.93
2.02	0.0234	2.19	0.826	1.49	5.43	1.31	5.92
2.02	0.0233	2.19	0.823	1.49	5.42	1.31	5.92
2.01	0.0232	2.19	0.819	1.49	5.42	1.31	5.92
2.01	0.0231	2.18	0.815	1.48	5.42	1.31	5.91
2.01	0.023	2.18	0.812	1.48	5.42	1.3	5.91
2	0.0229	2.17	0.808	1.48	5.41	1.3	5.91
2	0.0228	2.17	0.804	1.48	5.41	1.3	5.91
2	0.0227	2.17	0.801	1.47	5.41	1.3	5.9
1.99	0.0226	2.16	0.797	1.47	5.41	1.3	5.9
1.99	0.0225	2.16	0.794	1.47	5.41	1.29	5.9
1.99	0.0224	2.16	0.79	1.47	5.4	1.29	5.89
1.98	0.0223	2.15	0.787	1.46	5.4	1.29	5.89
1.98	0.0222	2.15	0.783	1.46	5.4	1.29	5.89
1.98	0.0221	2.15	0.779	1.46	5.4	1.29	5.89
1.97	0.022	2.14	0.776	1.46	5.39	1.28	5.88
1.97	0.0219	2.14	0.772	1.45	5.39	1.28	5.88
1.97	0.0218	2.13	0.769	1.45	5.39	1.28	5.88
1.96	0.0217	2.13	0.766	1.45	5.39	1.28	5.87
1.96	0.0216	2.13	0.762	1.45	5.39	1.27	5.87
1.96	0.0215	2.12	0.759	1.44	5.38	1.27	5.87
1.95	0.0214	2.12	0.755	1.44	5.38	1.27	5.87
1.95	0.0213	2.12	0.752	1.44	5.38	1.27	5.86
1.95	0.0212	2.11	0.749	1.44	5.38	1.27	5.86
1.95	0.0211	2.11	0.745	1.43	5.38	1.26	5.86
1.94	0.021	2.11	0.742	1.43	5.37	1.26	5.85
1.94	0.0209	2.1	0.738	1.43	5.37	1.26	5.85
1.94	0.0208	2.1	0.735	1.43	5.37	1.26	5.85
1.93	0.0207	2.1	0.732	1.43	5.37	1.26	5.85
1.93	0.0207	2.09	0.729	1.42	5.37	1.25	5.84
1.93	0.0206	2.09	0.725	1.42	5.36	1.25	5.84
1.92	0.0205	2.09	0.722	1.42	5.36	1.25	5.84
1.92	0.0204	2.08	0.719	1.42	5.36	1.25	5.84
1.92	0.0203	2.08	0.716	1.41	5.36	1.24	5.83
1.91	0.0202	2.08	0.712	1.41	5.36	1.24	5.83
1.91	0.0201	2.07	0.709	1.41	5.36	1.24	5.83
1.91	0.02	2.07	0.706	1.41	5.35	1.24	5.83
1.9	0.0199	2.06	0.703	1.4	5.35	1.24	5.82
1.9	0.0198	2.06	0.7	1.4	5.35	1.23	5.82
1.9	0.0197	2.06	0.696	1.4	5.35	1.23	5.82
1.89	0.0197	2.05	0.693	1.4	5.35	1.23	5.82
1.89	0.0196	2.05	0.69	1.39	5.34	1.23	5.81
1.89	0.0195	2.05	0.687	1.39	5.34	1.23	5.81
1.88	0.0194	2.04	0.684	1.39	5.34	1.22	5.81
1.88	0.0193	2.04	0.681	1.39	5.34	1.22	5.81
1.88	0.0192	2.04	0.678	1.39	5.34	1.22	5.8
1.88	0.0191	2.03	0.675	1.38	5.34	1.22	5.8
1.87	0.019	2.03	0.672	1.38	5.33	1.22	5.8
1.87	0.019	2.03	0.669	1.38	5.33	1.21	5.8
1.87	0.0189	2.02	0.666	1.38	5.33	1.21	5.79
1.86	0.0188	2.02	0.663	1.37	5.33	1.21	5.79
1.86	0.0187	2.02	0.66	1.37	5.33	1.21	5.79
1.86	0.0186	2.01	0.657	1.37	5.33	1.21	5.79
1.85	0.0185	2.01	0.654	1.37	5.32	1.2	5.78
1.85	0.0185	2.01	0.651	1.36	5.32	1.2	5.78
1.85	0.0184	2	0.648	1.36	5.32	1.2	5.78
1.84	0.0183	2	0.645	1.36	5.32	1.2	5.78
1.84	0.0182	2	0.642	1.36	5.32	1.2	5.78
1.84	0.0181	1.99	0.639	1.36	5.32	1.19	5.77
1.84	0.018	1.99	0.636	1.35	5.31	1.19	5.77
1.83	0.018	1.99	0.634	1.35	5.31	1.19	5.77
1.83	0.0179	1.98	0.631	1.35	5.31	1.19	5.77
1.83	0.0178	1.98	0.628	1.35	5.31	1.19	5.76
1.82	0.0177	1.98	0.625	1.34	5.31	1.18	5.76
1.82	0.0176	1.97	0.622	1.34	5.31	1.18	5.76
1.82	0.0176	1.97	0.619	1.34	5.31	1.18	5.76
1.81	0.0175	1.97	0.617	1.34	5.3	1.18	5.75
1.81	0.0174	1.96	0.614	1.34	5.3	1.18	5.75
1.81	0.0173	1.96	0.611	1.33	5.3	1.17	5.75
1.8	0.0172	1.96	0.608	1.33	5.3	1.17	5.75
1.8	0.0172	1.95	0.606	1.33	5.3	1.17	5.75
1.8	0.0171	1.95	0.603	1.33	5.3	1.17	5.74
1.8	0.017	1.95	0.6	1.32	5.3	1.17	5.74
1.79	0.0169	1.94	0.598	1.32	5.29	1.16	5.74
1.79	0.0169	1.94	0.595	1.32	5.29	1.16	5.74
1.79	0.0168	1.94	0.592	1.32	5.29	1.16	5.74
1.78	0.0167	1.93	0.59	1.32	5.29	1.16	5.73
1.78	0.0166	1.93	0.587	1.31	5.29	1.16	5.73
1.78	0.0166	1.93	0.584	1.31	5.29	1.16	5.73
1.77	0.0165	1.93	0.582	1.31	5.29	1.15	5.73
1.77	0.0164	1.92	0.579	1.31	5.28	1.15	5.72
