"Time [s]"	"[B*] 0.15Hz dc0.2"	"[B*] 0.15Hz dc0.40"	"[B*] 0.15Hz dc0.45"	"[B*] 0.15Hz dc0.5"
6530	4.91e-027	0.0178	5.56	5.31
6540	4.89e-027	0.0177	5.56	5.31
6550	4.87e-027	0.0176	5.56	5.31
6560	4.85e-027	0.0176	5.55	5.31
6570	4.83e-027	0.0175	5.55	5.3
6580	4.81e-027	0.0174	5.55	5.3
6590	4.78e-027	0.0173	5.54	5.3
6590	4.76e-027	0.0172	5.54	5.3
6600	4.74e-027	0.0172	5.53	5.3
6610	4.72e-027	0.0171	5.53	5.3
6620	4.7e-027	0.017	5.53	5.3
6630	4.68e-027	0.0169	5.52	5.29
6640	4.66e-027	0.0169	5.52	5.29
6650	4.64e-027	0.0168	5.52	5.29
6660	4.61e-027	0.0167	5.51	5.29
6670	4.59e-027	0.0166	5.51	5.29
6680	4.57e-027	0.0166	5.51	5.29
6680	4.55e-027	0.0165	5.5	5.29
6690	4.53e-027	0.0164	5.5	5.28
6700	4.51e-027	0.0163	5.5	5.28
6710	4.49e-027	0.0163	5.49	5.28
6720	4.47e-027	0.0162	5.49	5.28
6730	4.45e-027	0.0161	5.49	5.28
6740	4.43e-027	0.016	5.49	5.28
6750	4.41e-027	0.016	5.48	5.28
6760	4.39e-027	0.0159	5.48	5.27
6770	4.37e-027	0.0158	5.48	5.27
6770	4.35e-027	0.0158	5.47	5.27
6780	4.33e-027	0.0157	5.47	5.27
6790	4.31e-027	0.0156	5.47	5.27
6800	4.29e-027	0.0155	5.46	5.27
6810	4.27e-027	0.0155	5.46	5.27
6820	4.25e-027	0.0154	5.46	5.27
6830	4.24e-027	0.0153	5.46	5.26
6840	4.22e-027	0.0153	5.45	5.26
6850	4.2e-027	0.0152	5.45	5.26
6860	4.18e-027	0.0151	5.45	5.26
6860	4.16e-027	0.0151	5.44	5.26
6870	4.14e-027	0.015	5.44	5.26
6880	4.12e-027	0.0149	5.44	5.26
6890	4.1e-027	0.0149	5.44	5.26
6900	4.09e-027	0.0148	5.43	5.25
6910	4.07e-027	0.0147	5.43	5.25
6920	4.05e-027	0.0147	5.43	5.25
6930	4.03e-027	0.0146	5.42	5.25
6940	4.01e-027	0.0145	5.42	5.25
6950	3.99e-027	0.0145	5.42	5.25
6950	3.98e-027	0.0144	5.42	5.25
6960	3.96e-027	0.0143	5.41	5.25
6970	3.94e-027	0.0143	5.41	5.25
6980	3.92e-027	0.0142	5.41	5.24
6990	3.91e-027	0.0141	5.41	5.24
7000	3.89e-027	0.0141	5.4	5.24
7010	3.87e-027	0.014	5.4	5.24
7020	3.85e-027	0.014	5.4	5.24
7030	3.84e-027	0.0139	5.4	5.24
7040	3.82e-027	0.0138	5.39	5.24
7050	3.8e-027	0.0138	5.39	5.24
7050	3.78e-027	0.0137	5.39	5.24
7060	3.77e-027	0.0136	5.39	5.23
7070	3.75e-027	0.0136	5.38	5.23
7080	3.73e-027	0.0135	5.38	5.23
7090	3.72e-027	0.0135	5.38	5.23
7100	3.7e-027	0.0134	5.38	5.23
7110	3.68e-027	0.0133	5.37	5.23
7120	3.67e-027	0.0133	5.37	5.23
7130	3.65e-027	0.0132	5.37	5.23
7140	3.63e-027	0.0132	5.37	5.23
7140	3.62e-027	0.0131	5.37	5.23
7150	3.6e-027	0.013	5.36	5.22
7160	3.59e-027	0.013	5.36	5.22
7170	3.57e-027	0.0129	5.36	5.22
7180	3.55e-027	0.0129	5.36	5.22
7190	3.54e-027	0.0128	5.35	5.22
7200	3.52e-027	0.0128	5.35	5.22
7210	3.51e-027	0.0127	5.35	5.22
7220	3.49e-027	0.0126	5.35	5.22
7230	3.47e-027	0.0126	5.35	5.22
7230	3.46e-027	0.0125	5.34	5.22
7240	3.44e-027	0.0125	5.34	5.22
7250	3.43e-027	0.0124	5.34	5.21
7260	3.41e-027	0.0124	5.34	5.21
7270	3.4e-027	0.0123	5.34	5.21
7280	3.38e-027	0.0122	5.33	5.21
7290	3.37e-027	0.0122	5.33	5.21
7300	3.35e-027	0.0121	5.33	5.21
7310	3.34e-027	0.0121	5.33	5.21
7320	3.32e-027	0.012	5.33	5.21
7320	3.31e-027	0.012	5.32	5.21
7330	3.29e-027	0.0119	5.32	5.21
7340	3.28e-027	0.0119	5.32	5.21
7350	3.26e-027	0.0118	5.32	5.2
7360	3.25e-027	0.0118	5.32	5.2
7370	3.23e-027	0.0117	5.31	5.2
7380	3.22e-027	0.0117	5.31	5.2
7390	3.2e-027	0.0116	5.31	5.2
7400	3.19e-027	0.0116	5.31	5.2
7410	3.17e-027	0.0115	5.31	5.2
7410	3.16e-027	0.0114	5.3	5.2
7420	3.15e-027	0.0114	5.3	5.2
7430	3.13e-027	0.0113	5.3	5.2
7440	3.12e-027	0.0113	5.3	5.2
7450	3.1e-027	0.0112	5.3	5.2
7460	3.09e-027	0.0112	5.3	5.19
7470	3.08e-027	0.0111	5.29	5.19
7480	3.06e-027	0.0111	5.29	5.19
7490	3.05e-027	0.011	5.29	5.19
7500	3.04e-027	0.011	5.29	5.19
7500	3.02e-027	0.0109	5.29	5.19
7510	3.01e-027	0.0109	5.29	5.19
7520	2.99e-027	0.0108	5.28	5.19
7530	2.98e-027	0.0108	5.28	5.19
7540	2.97e-027	0.0107	5.28	5.19
7550	2.95e-027	0.0107	5.28	5.19
7560	2.94e-027	0.0107	5.28	5.19
7570	2.93e-027	0.0106	5.28	5.19
7580	2.91e-027	0.0106	5.27	5.18
7590	2.9e-027	0.0105	5.27	5.18
7590	2.89e-027	0.0105	5.27	5.18
7600	2.88e-027	0.0104	5.27	5.18
7610	2.86e-027	0.0104	5.27	5.18
7620	2.85e-027	0.0103	5.27	5.18
7630	2.84e-027	0.0103	5.26	5.18
7640	2.82e-027	0.0102	5.26	5.18
7650	2.81e-027	0.0102	5.26	5.18
7660	2.8e-027	0.0101	5.26	5.18
7670	2.79e-027	0.0101	5.26	5.18
7680	2.77e-027	0.01	5.26	5.18
7680	2.76e-027	0.01	5.26	5.18
7690	2.75e-027	0.00996	5.25	5.18
7700	2.74e-027	0.00991	5.25	5.17
7710	2.72e-027	0.00987	5.25	5.17
7720	2.71e-027	0.00982	5.25	5.17
7730	2.7e-027	0.00978	5.25	5.17
7740	2.69e-027	0.00973	5.25	5.17
7750	2.68e-027	0.00969	5.25	5.17
7760	2.66e-027	0.00965	5.24	5.17
7770	2.65e-027	0.0096	5.24	5.17
7770	2.64e-027	0.00956	5.24	5.17
7780	2.63e-027	0.00952	5.24	5.17
7790	2.62e-027	0.00947	5.24	5.17
7800	2.6e-027	0.00943	5.24	5.17
7810	2.59e-027	0.00939	5.24	5.17
7820	2.58e-027	0.00935	5.24	5.17
7830	2.57e-027	0.0093	5.23	5.17
7840	2.56e-027	0.00926	5.23	5.16
7850	2.55e-027	0.00922	5.23	5.16
7860	2.53e-027	0.00918	5.23	5.16
7860	2.52e-027	0.00914	5.23	5.16
7870	2.51e-027	0.0091	5.23	5.16
7880	2.5e-027	0.00906	5.23	5.16
7890	2.49e-027	0.00902	5.22	5.16
7900	2.48e-027	0.00898	5.22	5.16
7910	2.47e-027	0.00894	5.22	5.16
7920	2.46e-027	0.00889	5.22	5.16
7930	2.44e-027	0.00885	5.22	5.16
7940	2.43e-027	0.00882	5.22	5.16
7950	2.42e-027	0.00878	5.22	5.16
7950	2.41e-027	0.00874	5.22	5.16
7960	2.4e-027	0.0087	5.22	5.16
7970	2.39e-027	0.00866	5.21	5.16
7980	2.38e-027	0.00862	5.21	5.16
7990	2.37e-027	0.00858	5.21	5.15
8000	2.36e-027	0.00854	5.21	5.15
8010	2.35e-027	0.0085	5.21	5.15
8020	2.34e-027	0.00846	5.21	5.15
8030	2.33e-027	0.00843	5.21	5.15
8040	2.32e-027	0.00839	5.21	5.15
8050	2.31e-027	0.00835	5.21	5.15
8050	2.3e-027	0.00831	5.2	5.15
8060	2.29e-027	0.00828	5.2	5.15
8070	2.27e-027	0.00824	5.2	5.15
8080	2.26e-027	0.0082	5.2	5.15
8090	2.25e-027	0.00817	5.2	5.15
8100	2.24e-027	0.00813	5.2	5.15
8110	2.23e-027	0.00809	5.2	5.15
8120	2.22e-027	0.00806	5.2	5.15
8130	2.21e-027	0.00802	5.2	5.15
8140	2.2e-027	0.00798	5.19	5.15
8140	2.19e-027	0.00795	5.19	5.15
8150	2.18e-027	0.00791	5.19	5.14
8160	2.17e-027	0.00788	5.19	5.14
8170	2.16e-027	0.00784	5.19	5.14
8180	2.16e-027	0.00781	5.19	5.14
8190	2.15e-027	0.00777	5.19	5.14
8200	2.14e-027	0.00774	5.19	5.14
8210	2.13e-027	0.0077	5.19	5.14
8220	2.12e-027	0.00767	5.19	5.14
8230	2.11e-027	0.00763	5.18	5.14
8230	2.1e-027	0.0076	5.18	5.14
8240	2.09e-027	0.00756	5.18	5.14
8250	2.08e-027	0.00753	5.18	5.14
8260	2.07e-027	0.0075	5.18	5.14
8270	2.06e-027	0.00746	5.18	5.14
8280	2.05e-027	0.00743	5.18	5.14
8290	2.04e-027	0.00739	5.18	5.14
8300	2.03e-027	0.00736	5.18	5.14
8310	2.02e-027	0.00733	5.18	5.14
8320	2.01e-027	0.0073	5.18	5.14
8320	2.01e-027	0.00726	5.17	5.14
8330	2e-027	0.00723	5.17	5.13
8340	1.99e-027	0.0072	5.17	5.13
8350	1.98e-027	0.00717	5.17	5.13
8360	1.97e-027	0.00713	5.17	5.13
8370	1.96e-027	0.0071	5.17	5.13
8380	1.95e-027	0.00707	5.17	5.13
8390	1.94e-027	0.00704	5.17	5.13
8400	1.93e-027	0.00701	5.17	5.13
8410	1.93e-027	0.00697	5.17	5.13
8410	1.92e-027	0.00694	5.17	5.13
8420	1.91e-027	0.00691	5.16	5.13
8430	1.9e-027	0.00688	5.16	5.13
8440	1.89e-027	0.00685	5.16	5.13
8450	1.88e-027	0.00682	5.16	5.13
8460	1.87e-027	0.00679	5.16	5.13
8470	1.87e-027	0.00676	5.16	5.13
8480	1.86e-027	0.00673	5.16	5.13
8490	1.85e-027	0.0067	5.16	5.13
8500	1.84e-027	0.00667	5.16	5.13
8500	1.83e-027	0.00664	5.16	5.13
8510	1.82e-027	0.00661	5.16	5.13
8520	1.82e-027	0.00658	5.16	5.13
8530	1.81e-027	0.00655	5.16	5.13
8540	1.8e-027	0.00652	5.15	5.12
8550	1.79e-027	0.00649	5.15	5.12
8560	1.78e-027	0.00646	5.15	5.12
8570	1.78e-027	0.00643	5.15	5.12
8580	1.77e-027	0.0064	5.15	5.12
8590	1.76e-027	0.00637	5.15	5.12
8590	1.75e-027	0.00634	5.15	5.12
8600	1.74e-027	0.00632	5.15	5.12
8610	1.74e-027	0.00629	5.15	5.12
8620	1.73e-027	0.00626	5.15	5.12
8630	1.72e-027	0.00623	5.15	5.12
8640	1.71e-027	0.0062	5.15	5.12
8650	1.71e-027	0.00618	5.15	5.12
8660	1.7e-027	0.00615	5.14	5.12
8670	1.69e-027	0.00612	5.14	5.12
8680	1.68e-027	0.00609	5.14	5.12
8680	1.67e-027	0.00607	5.14	5.12
8690	1.67e-027	0.00604	5.14	5.12
8700	1.66e-027	0.00601	5.14	5.12
8710	1.65e-027	0.00598	5.14	5.12
8720	1.64e-027	0.00596	5.14	5.12
8730	1.64e-027	0.00593	5.14	5.12
8740	1.63e-027	0.0059	5.14	5.12
8750	1.62e-027	0.00588	5.14	5.12
8760	1.62e-027	0.00585	5.14	5.12
8770	1.61e-027	0.00582	5.14	5.12
8770	1.6e-027	0.0058	5.14	5.11
8780	1.59e-027	0.00577	5.14	5.11
8790	1.59e-027	0.00575	5.13	5.11
8800	1.58e-027	0.00572	5.13	5.11
8810	1.57e-027	0.00569	5.13	5.11
8820	1.57e-027	0.00567	5.13	5.11
8830	1.56e-027	0.00564	5.13	5.11
8840	1.55e-027	0.00562	5.13	5.11
8850	1.54e-027	0.00559	5.13	5.11
8860	1.54e-027	0.00557	5.13	5.11
8860	1.53e-027	0.00554	5.13	5.11
8870	1.52e-027	0.00552	5.13	5.11
8880	1.52e-027	0.00549	5.13	5.11
8890	1.51e-027	0.00547	5.13	5.11
8900	1.5e-027	0.00544	5.13	5.11
8910	1.5e-027	0.00542	5.13	5.11
8920	1.49e-027	0.0054	5.13	5.11
8930	1.48e-027	0.00537	5.13	5.11
8940	1.48e-027	0.00535	5.13	5.11
8950	1.47e-027	0.00532	5.12	5.11
8950	1.46e-027	0.0053	5.12	5.11
8960	1.46e-027	0.00527	5.12	5.11
8970	1.45e-027	0.00525	5.12	5.11
8980	1.44e-027	0.00523	5.12	5.11
8990	1.44e-027	0.0052	5.12	5.11
9000	1.43e-027	0.00518	5.12	5.11
