"Time [s]"	"[B*] 0.25 Hz dc 0.37"	"[B*] 0.33 Hz dc 0.5"	"[B*] 0.4 Hz dc 0.6"	"[B*] 0.5 Hz dc 0.75"
7250	1.89e-015	5.47	5.58	5.68
7260	1.88e-015	5.47	5.58	5.68
7270	1.87e-015	5.47	5.58	5.68
7280	1.87e-015	5.47	5.57	5.67
7290	1.86e-015	5.47	5.57	5.67
7300	1.85e-015	5.47	5.57	5.67
7310	1.84e-015	5.46	5.57	5.67
7320	1.83e-015	5.46	5.57	5.67
7320	1.82e-015	5.46	5.57	5.67
7330	1.82e-015	5.46	5.57	5.66
7340	1.81e-015	5.46	5.56	5.66
7350	1.8e-015	5.46	5.56	5.66
7360	1.79e-015	5.45	5.56	5.66
7370	1.78e-015	5.45	5.56	5.66
7380	1.78e-015	5.45	5.56	5.66
7390	1.77e-015	5.45	5.56	5.65
7400	1.76e-015	5.45	5.55	5.65
7410	1.75e-015	5.45	5.55	5.65
7410	1.74e-015	5.44	5.55	5.65
7420	1.74e-015	5.44	5.55	5.65
7430	1.73e-015	5.44	5.55	5.65
7440	1.72e-015	5.44	5.55	5.64
7450	1.71e-015	5.44	5.55	5.64
7460	1.7e-015	5.44	5.54	5.64
7470	1.7e-015	5.43	5.54	5.64
7480	1.69e-015	5.43	5.54	5.64
7490	1.68e-015	5.43	5.54	5.64
7500	1.67e-015	5.43	5.54	5.63
7500	1.67e-015	5.43	5.54	5.63
7510	1.66e-015	5.43	5.54	5.63
7520	1.65e-015	5.43	5.53	5.63
7530	1.64e-015	5.42	5.53	5.63
7540	1.64e-015	5.42	5.53	5.63
7550	1.63e-015	5.42	5.53	5.62
7560	1.62e-015	5.42	5.53	5.62
7570	1.62e-015	5.42	5.53	5.62
7580	1.61e-015	5.42	5.53	5.62
7590	1.6e-015	5.42	5.52	5.62
7590	1.59e-015	5.41	5.52	5.62
7600	1.59e-015	5.41	5.52	5.61
7610	1.58e-015	5.41	5.52	5.61
7620	1.57e-015	5.41	5.52	5.61
7630	1.56e-015	5.41	5.52	5.61
7640	1.56e-015	5.41	5.52	5.61
7650	1.55e-015	5.41	5.51	5.61
7660	1.54e-015	5.4	5.51	5.61
7670	1.54e-015	5.4	5.51	5.6
7680	1.53e-015	5.4	5.51	5.6
7680	1.52e-015	5.4	5.51	5.6
7690	1.52e-015	5.4	5.51	5.6
7700	1.51e-015	5.4	5.51	5.6
7710	1.5e-015	5.4	5.5	5.6
7720	1.5e-015	5.39	5.5	5.6
7730	1.49e-015	5.39	5.5	5.59
7740	1.48e-015	5.39	5.5	5.59
7750	1.48e-015	5.39	5.5	5.59
7760	1.47e-015	5.39	5.5	5.59
7770	1.46e-015	5.39	5.5	5.59
7770	1.46e-015	5.39	5.5	5.59
7780	1.45e-015	5.39	5.49	5.58
7790	1.44e-015	5.38	5.49	5.58
7800	1.44e-015	5.38	5.49	5.58
7810	1.43e-015	5.38	5.49	5.58
7820	1.42e-015	5.38	5.49	5.58
7830	1.42e-015	5.38	5.49	5.58
7840	1.41e-015	5.38	5.49	5.58
7850	1.4e-015	5.38	5.49	5.57
7860	1.4e-015	5.38	5.48	5.57
7860	1.39e-015	5.37	5.48	5.57
7870	1.39e-015	5.37	5.48	5.57
7880	1.38e-015	5.37	5.48	5.57
7890	1.37e-015	5.37	5.48	5.57
7900	1.37e-015	5.37	5.48	5.57
7910	1.36e-015	5.37	5.48	5.57
7920	1.35e-015	5.37	5.48	5.56
7930	1.35e-015	5.37	5.47	5.56
7940	1.34e-015	5.36	5.47	5.56
7950	1.34e-015	5.36	5.47	5.56
7950	1.33e-015	5.36	5.47	5.56
7960	1.32e-015	5.36	5.47	5.56
7970	1.32e-015	5.36	5.47	5.56
7980	1.31e-015	5.36	5.47	5.55
7990	1.31e-015	5.36	5.47	5.55
8000	1.3e-015	5.36	5.46	5.55
8010	1.3e-015	5.36	5.46	5.55
8020	1.29e-015	5.35	5.46	5.55
8030	1.28e-015	5.35	5.46	5.55
8040	1.28e-015	5.35	5.46	5.55
8050	1.27e-015	5.35	5.46	5.54
8050	1.27e-015	5.35	5.46	5.54
8060	1.26e-015	5.35	5.46	5.54
8070	1.25e-015	5.35	5.46	5.54
8080	1.25e-015	5.35	5.45	5.54
8090	1.24e-015	5.35	5.45	5.54
8100	1.24e-015	5.34	5.45	5.54
8110	1.23e-015	5.34	5.45	5.54
8120	1.23e-015	5.34	5.45	5.53
8130	1.22e-015	5.34	5.45	5.53
8140	1.22e-015	5.34	5.45	5.53
8140	1.21e-015	5.34	5.45	5.53
8150	1.21e-015	5.34	5.45	5.53
8160	1.2e-015	5.34	5.44	5.53
8170	1.19e-015	5.34	5.44	5.53
8180	1.19e-015	5.33	5.44	5.53
8190	1.18e-015	5.33	5.44	5.52
8200	1.18e-015	5.33	5.44	5.52
8210	1.17e-015	5.33	5.44	5.52
8220	1.17e-015	5.33	5.44	5.52
8230	1.16e-015	5.33	5.44	5.52
8230	1.16e-015	5.33	5.44	5.52
8240	1.15e-015	5.33	5.43	5.52
8250	1.15e-015	5.33	5.43	5.52
8260	1.14e-015	5.33	5.43	5.51
8270	1.14e-015	5.32	5.43	5.51
8280	1.13e-015	5.32	5.43	5.51
8290	1.13e-015	5.32	5.43	5.51
8300	1.12e-015	5.32	5.43	5.51
8310	1.12e-015	5.32	5.43	5.51
8320	1.11e-015	5.32	5.43	5.51
8320	1.11e-015	5.32	5.43	5.51
8330	1.1e-015	5.32	5.42	5.5
8340	1.1e-015	5.32	5.42	5.5
8350	1.09e-015	5.32	5.42	5.5
8360	1.09e-015	5.32	5.42	5.5
8370	1.08e-015	5.31	5.42	5.5
8380	1.08e-015	5.31	5.42	5.5
8390	1.07e-015	5.31	5.42	5.5
8400	1.07e-015	5.31	5.42	5.5
8410	1.06e-015	5.31	5.42	5.5
8410	1.06e-015	5.31	5.41	5.49
8420	1.05e-015	5.31	5.41	5.49
8430	1.05e-015	5.31	5.41	5.49
8440	1.04e-015	5.31	5.41	5.49
8450	1.04e-015	5.31	5.41	5.49
8460	1.03e-015	5.3	5.41	5.49
8470	1.03e-015	5.3	5.41	5.49
8480	1.02e-015	5.3	5.41	5.49
8490	1.02e-015	5.3	5.41	5.49
8500	1.02e-015	5.3	5.41	5.48
8500	1.01e-015	5.3	5.4	5.48
8510	1.01e-015	5.3	5.4	5.48
8520	1e-015	5.3	5.4	5.48
8530	9.97e-016	5.3	5.4	5.48
8540	9.93e-016	5.3	5.4	5.48
8550	9.88e-016	5.3	5.4	5.48
8560	9.84e-016	5.3	5.4	5.48
8570	9.8e-016	5.29	5.4	5.47
8580	9.75e-016	5.29	5.4	5.47
8590	9.71e-016	5.29	5.4	5.47
8590	9.66e-016	5.29	5.4	5.47
8600	9.62e-016	5.29	5.39	5.47
8610	9.58e-016	5.29	5.39	5.47
8620	9.53e-016	5.29	5.39	5.47
8630	9.49e-016	5.29	5.39	5.47
8640	9.45e-016	5.29	5.39	5.47
8650	9.41e-016	5.29	5.39	5.47
8660	9.36e-016	5.29	5.39	5.46
8670	9.32e-016	5.29	5.39	5.46
8680	9.28e-016	5.28	5.39	5.46
8680	9.24e-016	5.28	5.39	5.46
8690	9.2e-016	5.28	5.38	5.46
8700	9.16e-016	5.28	5.38	5.46
8710	9.11e-016	5.28	5.38	5.46
8720	9.07e-016	5.28	5.38	5.46
8730	9.03e-016	5.28	5.38	5.46
8740	8.99e-016	5.28	5.38	5.45
8750	8.95e-016	5.28	5.38	5.45
8760	8.91e-016	5.28	5.38	5.45
8770	8.87e-016	5.28	5.38	5.45
8770	8.83e-016	5.28	5.38	5.45
8780	8.79e-016	5.27	5.38	5.45
8790	8.75e-016	5.27	5.38	5.45
8800	8.71e-016	5.27	5.37	5.45
8810	8.67e-016	5.27	5.37	5.45
8820	8.64e-016	5.27	5.37	5.45
8830	8.6e-016	5.27	5.37	5.44
8840	8.56e-016	5.27	5.37	5.44
8850	8.52e-016	5.27	5.37	5.44
8860	8.48e-016	5.27	5.37	5.44
8860	8.44e-016	5.27	5.37	5.44
8870	8.4e-016	5.27	5.37	5.44
8880	8.37e-016	5.27	5.37	5.44
8890	8.33e-016	5.27	5.37	5.44
8900	8.29e-016	5.27	5.36	5.44
8910	8.25e-016	5.26	5.36	5.44
8920	8.22e-016	5.26	5.36	5.43
8930	8.18e-016	5.26	5.36	5.43
8940	8.14e-016	5.26	5.36	5.43
8950	8.11e-016	5.26	5.36	5.43
8950	8.07e-016	5.26	5.36	5.43
8960	8.03e-016	5.26	5.36	5.43
8970	8e-016	5.26	5.36	5.43
8980	7.96e-016	5.26	5.36	5.43
8990	7.93e-016	5.26	5.36	5.43
9000	7.89e-016	5.26	5.36	5.43
