"Time [s]"	[A]	[A*]	[B]	[B*]	[A]1	[A*]1	[B]1	[B*]1
3600					0.205	2.01	12.5	0.17
3610					0.204	2	12.5	0.169
3620					0.204	2	12.5	0.168
3630					0.203	2	12.5	0.167
3640					0.203	1.99	12.5	0.166
3650					0.203	1.99	12.5	0.165
3660					0.202	1.99	12.5	0.165
3670					0.202	1.98	12.5	0.164
3680					0.202	1.98	12.5	0.163
3690					0.201	1.98	12.5	0.162
3700					0.201	1.97	12.5	0.161
3710					0.2	1.97	12.5	0.16
3720					0.2	1.96	12.5	0.16
3730					0.2	1.96	12.5	0.159
3740					0.199	1.96	12.5	0.158
3750					0.199	1.95	12.5	0.157
3760					0.199	1.95	12.5	0.156
3770					0.198	1.95	12.5	0.156
3780					0.198	1.94	12.5	0.155
3790					0.198	1.94	12.5	0.154
3800					0.197	1.94	12.5	0.153
3810					0.197	1.93	12.5	0.153
3820					0.196	1.93	12.5	0.152
3830					0.196	1.92	12.5	0.151
3840					0.196	1.92	12.5	0.15
3850					0.195	1.92	12.5	0.15
3860					0.195	1.91	12.5	0.149
3870					0.195	1.91	12.5	0.148
3880					0.194	1.91	12.5	0.147
3890					0.194	1.9	12.5	0.147
3900					0.194	1.9	12.5	0.146
3910					0.193	1.9	12.5	0.145
3920					0.193	1.89	12.5	0.144
3930					0.192	1.89	12.5	0.144
3940					0.192	1.89	12.5	0.143
3950					0.192	1.88	12.5	0.142
3960					0.191	1.88	12.5	0.142
3970					0.191	1.88	12.5	0.141
3980					0.191	1.87	12.5	0.14
3990					0.19	1.87	12.5	0.139
4000					0.19	1.86	12.5	0.139
4010					0.19	1.86	12.5	0.138
4020					0.189	1.86	12.5	0.137
4030					0.189	1.85	12.5	0.137
4040					0.189	1.85	12.5	0.136
4050					0.188	1.85	12.5	0.135
4060					0.188	1.84	12.5	0.135
4070					0.188	1.84	12.5	0.134
4080					0.187	1.84	12.5	0.133
4090					0.187	1.83	12.5	0.133
4100					0.187	1.83	12.5	0.132
4110					0.186	1.83	12.5	0.131
4120					0.186	1.82	12.5	0.131
4130					0.185	1.82	12.5	0.13
4140					0.185	1.82	12.5	0.129
4150					0.185	1.81	12.5	0.129
4160					0.184	1.81	12.6	0.128
4170					0.184	1.81	12.6	0.127
4180					0.184	1.8	12.6	0.127
4190					0.183	1.8	12.6	0.126
4200					0.183	1.8	12.6	0.126
4210					0.183	1.79	12.6	0.125
4220					0.182	1.79	12.6	0.124
4230					0.182	1.79	12.6	0.124
4240					0.182	1.78	12.6	0.123
4250					0.181	1.78	12.6	0.122
4260					0.181	1.78	12.6	0.122
4270					0.181	1.77	12.6	0.121
4280					0.18	1.77	12.6	0.121
4290					0.18	1.77	12.6	0.12
4300					0.18	1.76	12.6	0.119
4310					0.179	1.76	12.6	0.119
4320					0.179	1.76	12.6	0.118
4330					0.179	1.75	12.6	0.118
4340					0.178	1.75	12.6	0.117
4350					0.178	1.75	12.6	0.116
4360					0.178	1.74	12.6	0.116
4370					0.177	1.74	12.6	0.115
4380					0.177	1.74	12.6	0.115
4390					0.177	1.73	12.6	0.114
4400					0.176	1.73	12.6	0.114
4410					0.176	1.73	12.6	0.113
4420					0.176	1.73	12.6	0.112
4430					0.175	1.72	12.6	0.112
4440					0.175	1.72	12.6	0.111
4450					0.175	1.72	12.6	0.111
4460					0.174	1.71	12.6	0.11
4470					0.174	1.71	12.6	0.11
4480					0.174	1.71	12.6	0.109
4490					0.174	1.7	12.6	0.109
4500					0.173	1.7	12.6	0.108
4510					0.173	1.7	12.6	0.108
4520					0.173	1.69	12.6	0.107
4530					0.172	1.69	12.6	0.106
4540					0.172	1.69	12.6	0.106
4550					0.172	1.68	12.6	0.105
4560					0.171	1.68	12.6	0.105
4570					0.171	1.68	12.6	0.104
4580					0.171	1.68	12.6	0.104
4590					0.17	1.67	12.6	0.103
4600					0.17	1.67	12.6	0.103
4610					0.17	1.67	12.6	0.102
4620					0.169	1.66	12.6	0.102
4630					0.169	1.66	12.6	0.101
4640					0.169	1.66	12.6	0.101
4650					0.168	1.65	12.6	0.1
4660					0.168	1.65	12.6	0.0997
4670					0.168	1.65	12.6	0.0992
4680					0.168	1.64	12.6	0.0987
4690					0.167	1.64	12.6	0.0982
4700					0.167	1.64	12.6	0.0978
4710					0.167	1.64	12.6	0.0973
4720					0.166	1.63	12.6	0.0968
4730					0.166	1.63	12.6	0.0963
4740					0.166	1.63	12.6	0.0958
4750					0.165	1.62	12.6	0.0953
4760					0.165	1.62	12.6	0.0949
4770					0.165	1.62	12.6	0.0944
4780					0.164	1.61	12.6	0.0939
4790					0.164	1.61	12.6	0.0934
4800					0.164	1.61	12.6	0.093
4810					0.164	1.61	12.6	0.0925
4820					0.163	1.6	12.6	0.0921
4830					0.163	1.6	12.6	0.0916
4840					0.163	1.6	12.6	0.0911
4850					0.162	1.59	12.6	0.0907
4860					0.162	1.59	12.6	0.0902
4870					0.162	1.59	12.6	0.0898
4880					0.161	1.58	12.6	0.0893
4890					0.161	1.58	12.6	0.0889
4900					0.161	1.58	12.6	0.0884
4910					0.161	1.58	12.6	0.088
4920					0.16	1.57	12.6	0.0876
4930					0.16	1.57	12.6	0.0871
4940					0.16	1.57	12.6	0.0867
4950					0.159	1.56	12.6	0.0863
4960					0.159	1.56	12.6	0.0858
4970					0.159	1.56	12.6	0.0854
4980					0.158	1.56	12.6	0.085
4990					0.158	1.55	12.6	0.0845
5000					0.158	1.55	12.6	0.0841
5020					0.158	1.55	12.6	0.0837
5030					0.157	1.54	12.6	0.0833
5040					0.157	1.54	12.6	0.0829
5050					0.157	1.54	12.6	0.0825
5060					0.156	1.54	12.6	0.082
5070					0.156	1.53	12.6	0.0816
5080					0.156	1.53	12.6	0.0812
5090					0.156	1.53	12.6	0.0808
5100					0.155	1.52	12.6	0.0804
5110					0.155	1.52	12.6	0.08
5120					0.155	1.52	12.6	0.0796
5130					0.154	1.52	12.6	0.0792
5140					0.154	1.51	12.6	0.0788
5150					0.154	1.51	12.6	0.0784
5160					0.154	1.51	12.6	0.078
5170					0.153	1.5	12.6	0.0777
5180					0.153	1.5	12.6	0.0773
5190					0.153	1.5	12.6	0.0769
5200					0.152	1.5	12.6	0.0765
5210					0.152	1.49	12.6	0.0761
5220					0.152	1.49	12.6	0.0757
5230					0.152	1.49	12.6	0.0754
5240					0.151	1.49	12.6	0.075
5250					0.151	1.48	12.6	0.0746
5260					0.151	1.48	12.6	0.0742
5270					0.15	1.48	12.6	0.0739
5280					0.15	1.47	12.6	0.0735
5290					0.15	1.47	12.6	0.0731
5300					0.15	1.47	12.6	0.0728
5310					0.149	1.47	12.6	0.0724
5320					0.149	1.46	12.6	0.072
5330					0.149	1.46	12.6	0.0717
5340					0.149	1.46	12.6	0.0713
5350					0.148	1.46	12.6	0.071
5360					0.148	1.45	12.6	0.0706
5370					0.148	1.45	12.6	0.0703
5380					0.147	1.45	12.6	0.0699
5390					0.147	1.44	12.6	0.0696
5400					0.147	1.44	12.6	0.0692
5410					0.147	1.44	12.6	0.0689
5420					0.146	1.44	12.6	0.0685
5430					0.146	1.43	12.6	0.0682
5440					0.146	1.43	12.6	0.0678
5450					0.146	1.43	12.6	0.0675
5460					0.145	1.43	12.6	0.0672
5470					0.145	1.42	12.6	0.0668
5480					0.145	1.42	12.6	0.0665
5490					0.144	1.42	12.6	0.0662
5500					0.144	1.42	12.6	0.0658
5510					0.144	1.41	12.6	0.0655
5520					0.144	1.41	12.6	0.0652
5530					0.143	1.41	12.6	0.0648
5540					0.143	1.4	12.6	0.0645
5550					0.143	1.4	12.6	0.0642
5560					0.143	1.4	12.6	0.0639
5570					0.142	1.4	12.6	0.0636
5580					0.142	1.39	12.6	0.0632
5590					0.142	1.39	12.6	0.0629
5600					0.142	1.39	12.6	0.0626
5610					0.141	1.39	12.6	0.0623
5620					0.141	1.38	12.6	0.062
5630					0.141	1.38	12.6	0.0617
5640					0.141	1.38	12.6	0.0614
5650					0.14	1.38	12.6	0.0611
5660					0.14	1.37	12.6	0.0608
5670					0.14	1.37	12.6	0.0605
5680					0.139	1.37	12.6	0.0602
5690					0.139	1.37	12.6	0.0599
5700					0.139	1.36	12.6	0.0596
5710					0.139	1.36	12.6	0.0593
5720					0.138	1.36	12.6	0.059
5730					0.138	1.36	12.6	0.0587
5740					0.138	1.35	12.6	0.0584
5750					0.138	1.35	12.6	0.0581
5760					0.137	1.35	12.6	0.0578
5770					0.137	1.35	12.6	0.0575
5780					0.137	1.34	12.6	0.0572
5790					0.137	1.34	12.6	0.0569
5800					0.136	1.34	12.6	0.0567
5810					0.136	1.34	12.6	0.0564
5820					0.136	1.33	12.6	0.0561
5830					0.136	1.33	12.6	0.0558
5840					0.135	1.33	12.6	0.0555
5850					0.135	1.33	12.6	0.0553
5860					0.135	1.32	12.6	0.055
5870					0.135	1.32	12.6	0.0547
5880					0.134	1.32	12.6	0.0544
5890					0.134	1.32	12.6	0.0542
5900					0.134	1.31	12.6	0.0539
5910					0.134	1.31	12.6	0.0536
5920					0.133	1.31	12.6	0.0533
5930					0.133	1.31	12.6	0.0531
5940					0.133	1.3	12.6	0.0528
5950					0.133	1.3	12.6	0.0526
5960					0.132	1.3	12.6	0.0523
5970					0.132	1.3	12.6	0.052
5980					0.132	1.3	12.6	0.0518
5990					0.132	1.29	12.6	0.0515
6000					0.131	1.29	12.6	0.0513
