"Time [s]"	[A*]	[B*]	PADP
1410	2.31	2.8e-007	2.06e-009
1410	2.32	3.73e-007	2.06e-009
1420	2.33	5.42e-007	2.06e-009
1430	2.35	6.81e-007	2.06e-009
1440	2.36	7.71e-007	2.06e-009
1450	2.37	0.00000118	2.06e-009
1460	2.38	0.00000152	2.06e-009
1470	2.39	0.00000273	2.06e-009
1480	2.41	0.00000298	2.06e-009
1490	2.42	0.00000385	2.06e-009
1500	2.43	0.0000058	2.06e-009
1500	2.44	0.000008	2.06e-009
1510	2.45	0.00000809	2.06e-009
1520	2.47	0.000013	2.06e-009
1530	2.48	0.0000213	2.06e-009
1540	2.49	0.0000263	2.06e-009
1550	2.5	0.0000328	2.06e-009
1560	2.51	0.0000338	2.06e-009
1570	2.52	0.0000337	2.06e-009
1580	2.53	0.000049	2.06e-009
1590	2.54	0.000068	2.06e-009
1590	2.55	0.0000992	2.06e-009
1600	2.56	0.000146	2.06e-009
1610	2.57	0.000145	2.06e-009
1620	2.57	0.000212	2.06e-009
1630	2.58	0.000237	2.06e-009
1640	2.59	0.000306	2.06e-009
1650	2.6	0.00044	2.07e-009
1660	2.61	0.000694	2.07e-009
1670	2.62	0.000827	2.07e-009
1680	2.63	0.00113	2.07e-009
1680	2.64	0.00118	2.07e-009
1690	2.65	0.0015	2.08e-009
1700	2.66	0.00214	2.08e-009
1710	2.67	0.00272	2.09e-009
1720	2.68	0.00286	2.09e-009
1730	2.69	0.00419	2.1e-009
1740	2.7	0.00526	2.12e-009
1750	2.71	0.00691	2.13e-009
1760	2.72	0.00788	2.14e-009
1770	2.73	0.00785	2.06e-009
1770	2.74	0.0114	2.06e-009
1780	2.74	0.0163	2.06e-009
1790	2.75	0.02	2.06e-009
1800	2.76	0.02	2.06e-009
1810	2.77	0.0259	2.06e-009
1820	2.78	0.0327	2.06e-009
1830	2.78	0.0406	2.06e-009
1840	2.79	0.0404	2.06e-009
1850	2.8	0.0402	2.06e-009
1860	2.8	0.0401	2.06e-009
1860	2.81	0.0556	2.06e-009
1870	2.81	0.0753	2.06e-009
1880	2.82	0.109	2.06e-009
1890	2.82	0.135	2.06e-009
1900	2.83	0.142	2.06e-009
1910	2.84	0.194	2.06e-009
1920	2.84	0.231	2.06e-009
1930	2.85	0.289	2.06e-009
1940	2.86	0.318	2.06e-009
1950	2.86	0.378	2.06e-009
1950	2.87	0.484	2.06e-009
1960	2.88	0.614	2.06e-009
1970	2.89	0.611	2.06e-009
1980	2.89	0.807	2.06e-009
1990	2.9	1.01	2.06e-009
2000	2.91	1.01	2.06e-009
2010	2.92	1.2	2.06e-009
2020	2.92	1.45	2.06e-009
2030	2.93	1.76	2.06e-009
2040	2.94	2.3	2.06e-009
2050	2.94	2.36	2.06e-009
2050	2.95	2.88	2.06e-009
2060	2.96	3.7	2.06e-009
2070	2.96	3.75	2.06e-009
2080	2.97	4.49	2.06e-009
2090	2.97	5.43	2.06e-009
2100	2.98	5.97	2.06e-009
2110	2.98	6.19	2.06e-009
2120	2.98	6.48	2.06e-009
2130	2.98	6.99	2.06e-009
2140	2.98	7.71	2.06e-009
2140	2.98	8.3	2.06e-009
2150	2.98	8.27	2.06e-009
2160	2.98	8.86	2.06e-009
2170	2.98	8.95	2.06e-009
2180	2.98	9.23	2.06e-009
2190	2.98	9.2	2.06e-009
2200	2.97	9.16	2.06e-009
2210	2.97	9.45	2.06e-009
2220	2.97	9.82	2.06e-009
2230	2.97	10	2.06e-009
2230	2.96	10.2	2.06e-009
2240	2.96	10.3	2.06e-009
2250	2.96	10.4	2.06e-009
2260	2.95	10.6	2.06e-009
2270	2.95	10.7	2.06e-009
2280	2.95	10.8	2.06e-009
2290	2.94	10.9	2.06e-009
2300	2.94	11	2.06e-009
2310	2.93	11	2.06e-009
2320	2.93	11.1	2.06e-009
2320	2.93	11.1	2.06e-009
2330	2.92	11.2	2.06e-009
2340	2.92	11.2	2.06e-009
2350	2.91	11.2	2.06e-009
2360	2.91	11.2	2.06e-009
2370	2.9	11.2	2.06e-009
