"Time [s]"	[A*]	[B*]	PADP
7940	1.04	5.21	1
7950	1.04	5.21	1
7950	1.04	5.2	1
7960	1.03	5.2	1
7970	1.03	5.2	1
7980	1.03	5.2	1
7990	1.03	5.2	1
8000	1.03	5.2	1
8010	1.02	5.2	1
8020	1.02	5.2	1
8030	1.02	5.2	1
8040	1.02	5.2	1
8050	1.02	5.2	1
8050	1.02	5.2	1
8060	1.01	5.2	1
8070	1.01	5.2	1
8080	1.01	5.2	1
8090	1.01	5.19	1
8100	1.01	5.19	1
8110	1.01	5.19	1
8120	1	5.19	1
8130	1	5.19	1
8140	1	5.19	1
8140	1	5.19	1
8150	0.998	5.19	1
8160	0.996	5.19	1
8170	0.995	5.19	1
8180	0.993	5.19	1
8190	0.991	5.19	1
8200	0.99	5.19	1
8210	0.988	5.19	1
8220	0.986	5.19	1
8230	0.985	5.19	1
8230	0.983	5.18	1
8240	0.981	5.18	1
8250	0.98	5.18	1
8260	0.978	5.18	1
8270	0.976	5.18	1
8280	0.975	5.18	1
8290	0.973	5.18	1
8300	0.972	5.18	1
8310	0.97	5.18	1
8320	0.968	5.18	1
8320	0.967	5.18	1
8330	0.965	5.18	1
8340	0.964	5.18	1
8350	0.962	5.18	1
8360	0.96	5.18	1
8370	0.959	5.18	1
8380	0.957	5.18	1
8390	0.956	5.17	1
8400	0.954	5.17	1
8410	0.952	5.17	1
8410	0.951	5.17	1
8420	0.949	5.17	1
8430	0.948	5.17	1
8440	0.946	5.17	1
8450	0.944	5.17	1
8460	0.943	5.17	1
8470	0.941	5.17	1
8480	0.94	5.17	1
8490	0.938	5.17	1
8500	0.937	5.17	1
8500	0.935	5.17	1
8510	0.934	5.17	1
8520	0.932	5.17	1
8530	0.93	5.17	1
8540	0.929	5.17	1
8550	0.927	5.17	1
8560	0.926	5.16	1
8570	0.924	5.16	1
8580	0.923	5.16	1
8590	0.921	5.16	1
8590	0.92	5.16	1
8600	0.918	5.16	1
8610	0.917	5.16	1
8620	0.915	5.16	1
8630	0.914	5.16	1
8640	0.912	5.16	1
8650	0.91	5.16	1
8660	0.909	5.16	1
8670	0.907	5.16	1
8680	0.906	5.16	1
8680	0.904	5.16	1
8690	0.903	5.16	1
8700	0.901	5.16	1
8710	0.9	5.16	1
8720	0.898	5.16	1
8730	0.897	5.16	1
8740	0.895	5.16	1
8750	0.894	5.15	1
8760	0.892	5.15	1
8770	0.891	5.15	1
8770	0.889	5.15	1
8780	0.888	5.15	1
8790	0.887	5.15	1
8800	0.885	5.15	1
8810	0.884	5.15	1
8820	0.882	5.15	1
8830	0.881	5.15	1
8840	0.879	5.15	1
8850	0.878	5.15	1
8860	0.876	5.15	1
8860	0.875	5.15	1
8870	0.873	5.15	1
8880	0.872	5.15	1
8890	0.87	5.15	1
8900	0.869	5.15	1
8910	0.868	5.15	1
8920	0.866	5.15	1
8930	0.865	5.15	1
8940	0.863	5.15	1
8950	0.862	5.15	1
8950	0.86	5.14	1
8960	0.859	5.14	1
8970	0.857	5.14	1
8980	0.856	5.14	1
8990	0.855	5.14	1
9000	0.853	5.14	1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
			1
